"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion/Narrative Review","Type Bucket -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"96","D Thomas-Rüddel, J Winning, P Dickmann, D Ouart, A Kortgen, U Janssens, M Bauer","Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020.","The current outbreak of coronavirus disease (COVID-19) has reached Germany. The majority of people infected present with mild disease, but there are severe cases that need intensive care. Unlike other acute infectious diseases progressing to sepsis, the severe courses of COVID19 seemingly show prolonged progression from onset of first symptoms to life-threatening deterioration of (primarily) lung function. Diagnosis relies on PCR using specimens from the respiratory tract. Severe ARDS reflects the hallmark of a critical course of the disease. Preventing nosocomial infections (primarily by correct use of personal protective equipment) and maintenance of hospitals' operational capability are of utmost importance. Departments of Anaesthesia, Intensive Care and emergency medicine will envisage major challenges.  ","Mar 2020","Der Anaesthesist","32211920","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"96","D Thomas-Rüddel, J Winning, P Dickmann, D Ouart, A Kortgen, U Janssens, M Bauer","Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020.","The current outbreak of coronavirus disease (COVID-19) has reached Germany. The majority of people infected present with mild disease, but there are severe cases that need intensive care. Unlike other acute infectious diseases progressing to sepsis, the severe courses of COVID19 seemingly show prolonged progression from onset of first symptoms to life-threatening deterioration of (primarily) lung function. Diagnosis relies on PCR using specimens from the respiratory tract. Severe ARDS reflects the hallmark of a critical course of the disease. Preventing nosocomial infections (primarily by correct use of personal protective equipment) and maintenance of hospitals' operational capability are of utmost importance. Departments of Anaesthesia, Intensive Care and emergency medicine will envisage major challenges.  ","Mar 2020","Der Anaesthesist","32211920","jasper.ho","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"98","J Lian, X Jin, S Hao, H Cai, S Zhang, L Zheng, H Jia, J Hu, J Gao, Y Zhang, X Zhang, G Yu, X Wang, J Gu, C Ye, C Jin, Y Lu, X Yu, X Yu, Y Ren, Y Qiu, L Li, J Sheng, Y Yang","Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan.","BACKGROUND: The outbreak of COVID-19 has become a big threat to China, with high contagious capacity and varied mortality. This study aimed to investigate the epidemiological and clinical characteristics of older patients with COVID-19 out of Wuhan.  METHODS: A retrospective study was performed, with collecting data from medical records of confirmed COVID-19 patients in Zhejiang province from Jan 17 to Feb 12, 2020. Epidemiological, clinical and treatment data were analyzed between those older (≥60y) and younger (<60y) patients.  RESULTS: Total 788 patients with confirmed COVID-19 were selected, where 136 were older patients with corresponding age of 68.28y±7.314y. There was a significantly higher frequency of women in the older patients compared with the younger patients (57.35% vs 46.47%, P=0.021). The presence of coexisting medical condition was significantly higher in older patients compared with younger patients (55.15% vs 21.93%, P<0.001), including the rate of hypertension, diabetes, heart diseases and COPD. Significantly higher rates of severe (older vs younger groups: 16.18% vs 5.98%, P<0.001)/critical (8.82% vs 0.77%, P<0.001) type, shortness of breath (12.50% vs 3.07%, P<0.001) and high temperature of >39.0℃ (13.97% vs 7.21%, P=0.010) were observed in older patients compared with younger patients. Finally, Higher rates of ICU admission (9.56% vs 1.38%, P<0.001) and methylprednisolone application (28.68% vs 9.36%, P<0.001) were also identified in older patients.  CONCLUSIONS: The specific epidemiological and clinical features of older COVID-19 patients included significantly higher female gender, body temperature, co-existing of basic diseases and rate of severe and critical type.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211844","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,"Yes",
"98","J Lian, X Jin, S Hao, H Cai, S Zhang, L Zheng, H Jia, J Hu, J Gao, Y Zhang, X Zhang, G Yu, X Wang, J Gu, C Ye, C Jin, Y Lu, X Yu, X Yu, Y Ren, Y Qiu, L Li, J Sheng, Y Yang","Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan.","BACKGROUND: The outbreak of COVID-19 has become a big threat to China, with high contagious capacity and varied mortality. This study aimed to investigate the epidemiological and clinical characteristics of older patients with COVID-19 out of Wuhan.  METHODS: A retrospective study was performed, with collecting data from medical records of confirmed COVID-19 patients in Zhejiang province from Jan 17 to Feb 12, 2020. Epidemiological, clinical and treatment data were analyzed between those older (≥60y) and younger (<60y) patients.  RESULTS: Total 788 patients with confirmed COVID-19 were selected, where 136 were older patients with corresponding age of 68.28y±7.314y. There was a significantly higher frequency of women in the older patients compared with the younger patients (57.35% vs 46.47%, P=0.021). The presence of coexisting medical condition was significantly higher in older patients compared with younger patients (55.15% vs 21.93%, P<0.001), including the rate of hypertension, diabetes, heart diseases and COPD. Significantly higher rates of severe (older vs younger groups: 16.18% vs 5.98%, P<0.001)/critical (8.82% vs 0.77%, P<0.001) type, shortness of breath (12.50% vs 3.07%, P<0.001) and high temperature of >39.0℃ (13.97% vs 7.21%, P=0.010) were observed in older patients compared with younger patients. Finally, Higher rates of ICU admission (9.56% vs 1.38%, P<0.001) and methylprednisolone application (28.68% vs 9.36%, P<0.001) were also identified in older patients.  CONCLUSIONS: The specific epidemiological and clinical features of older COVID-19 patients included significantly higher female gender, body temperature, co-existing of basic diseases and rate of severe and critical type.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211844","jasper.ho","1","Yes","Cohort Studies",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,"Case report",,,,,,"Yes",
"100","J Yu, W Ouyang, MLK Chua, C Xie","SARS-CoV-2 Transmission in Patients With Cancer at a Tertiary Care Hospital in Wuhan, China.",,"Mar 2020","JAMA oncology","32211820","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,,,,,,"Internal Medicine",,,,,,"Oncology",,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,"Yes",
"100","J Yu, W Ouyang, MLK Chua, C Xie","SARS-CoV-2 Transmission in Patients With Cancer at a Tertiary Care Hospital in Wuhan, China.",,"Mar 2020","JAMA oncology","32211820","jasper.ho","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,"Oncology",,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,"Yes",
"101","S Shi, M Qin, B Shen, Y Cai, T Liu, F Yang, W Gong, X Liu, J Liang, Q Zhao, H Huang, B Yang, C Huang","Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China.","Importance: Coronavirus disease 2019 (COVID-19) has resulted in considerable morbidity and mortality worldwide since December 2019. However, information on cardiac injury in patients affected by COVID-19 is limited.  Objective: To explore the association between cardiac injury and mortality in patients with COVID-19.  Design, Setting, and Participants: This cohort study was conducted from January 20, 2020, to February 10, 2020, in a single center at Renmin Hospital of Wuhan University, Wuhan, China; the final date of follow-up was February 15, 2020. All consecutive inpatients with laboratory-confirmed COVID-19 were included in this study.  Main Outcomes and Measures: Clinical laboratory, radiological, and treatment data were collected and analyzed. Outcomes of patients with and without cardiac injury were compared. The association between cardiac injury and mortality was analyzed.  Results: A total of 416 hospitalized patients with COVID-19 were included in the final analysis; the median age was 64 years (range, 21-95 years), and 211 (50.7%) were female. Common symptoms included fever (334 patients [80.3%]), cough (144 [34.6%]), and shortness of breath (117 [28.1%]). A total of 82 patients (19.7%) had cardiac injury, and compared with patients without cardiac injury, these patients were older (median [range] age, 74 [34-95] vs 60 [21-90] years; P < .001); had more comorbidities (eg, hypertension in 49 of 82 [59.8%] vs 78 of 334 [23.4%]; P < .001); had higher leukocyte counts (median [interquartile range (IQR)], 9400 [6900-13 800] vs 5500 [4200-7400] cells/μL) and levels of C-reactive protein (median [IQR], 10.2 [6.4-17.0] vs 3.7 [1.0-7.3] mg/dL), procalcitonin (median [IQR], 0.27 [0.10-1.22] vs 0.06 [0.03-0.10] ng/mL), creatinine kinase-myocardial band (median [IQR], 3.2 [1.8-6.2] vs 0.9 [0.6-1.3] ng/mL), myohemoglobin (median [IQR], 128 [68-305] vs 39 [27-65] μg/L), high-sensitivity troponin I (median [IQR], 0.19 [0.08-1.12] vs <0.006 [<0.006-0.009] μg/L), N-terminal pro-B-type natriuretic peptide (median [IQR], 1689 [698-3327] vs 139 [51-335] pg/mL), aspartate aminotransferase (median [IQR], 40 [27-60] vs 29 [21-40] U/L), and creatinine (median [IQR], 1.15 [0.72-1.92] vs 0.64 [0.54-0.78] mg/dL); and had a higher proportion of multiple mottling and ground-glass opacity in radiographic findings (53 of 82 patients [64.6%] vs 15 of 334 patients [4.5%]). Greater proportions of patients with cardiac injury required noninvasive mechanical ventilation (38 of 82 [46.3%] vs 13 of 334 [3.9%]; P < .001) or invasive mechanical ventilation (18 of 82 [22.0%] vs 14 of 334 [4.2%]; P < .001) than those without cardiac injury. Complications were more common in patients with cardiac injury than those without cardiac injury and included acute respiratory distress syndrome (48 of 82 [58.5%] vs 49 of 334 [14.7%]; P < .001), acute kidney injury (7 of 82 [8.5%] vs 1 of 334 [0.3%]; P < .001), electrolyte disturbances (13 of 82 [15.9%] vs 17 of 334 [5.1%]; P = .003), hypoproteinemia (11 of 82 [13.4%] vs 16 of 334 [4.8%]; P = .01), and coagulation disorders (6 of 82 [7.3%] vs 6 of 334 [1.8%]; P = .02). Patients with cardiac injury had higher mortality than those without cardiac injury (42 of 82 [51.2%] vs 15 of 334 [4.5%]; P < .001). In a Cox regression model, patients with vs those without cardiac injury were at a higher risk of death, both during the time from symptom onset (hazard ratio, 4.26 [95% CI, 1.92-9.49]) and from admission to end point (hazard ratio, 3.41 [95% CI, 1.62-7.16]).  Conclusions and Relevance: Cardiac injury is a common condition among hospitalized patients with COVID-19 in Wuhan, China, and it is associated with higher risk of in-hospital mortality.  ","Mar 2020","JAMA cardiology","32211816","Meghanglibbery","1","Yes","Cohort Studies",,"Cardiology",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"101","S Shi, M Qin, B Shen, Y Cai, T Liu, F Yang, W Gong, X Liu, J Liang, Q Zhao, H Huang, B Yang, C Huang","Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China.","Importance: Coronavirus disease 2019 (COVID-19) has resulted in considerable morbidity and mortality worldwide since December 2019. However, information on cardiac injury in patients affected by COVID-19 is limited.  Objective: To explore the association between cardiac injury and mortality in patients with COVID-19.  Design, Setting, and Participants: This cohort study was conducted from January 20, 2020, to February 10, 2020, in a single center at Renmin Hospital of Wuhan University, Wuhan, China; the final date of follow-up was February 15, 2020. All consecutive inpatients with laboratory-confirmed COVID-19 were included in this study.  Main Outcomes and Measures: Clinical laboratory, radiological, and treatment data were collected and analyzed. Outcomes of patients with and without cardiac injury were compared. The association between cardiac injury and mortality was analyzed.  Results: A total of 416 hospitalized patients with COVID-19 were included in the final analysis; the median age was 64 years (range, 21-95 years), and 211 (50.7%) were female. Common symptoms included fever (334 patients [80.3%]), cough (144 [34.6%]), and shortness of breath (117 [28.1%]). A total of 82 patients (19.7%) had cardiac injury, and compared with patients without cardiac injury, these patients were older (median [range] age, 74 [34-95] vs 60 [21-90] years; P < .001); had more comorbidities (eg, hypertension in 49 of 82 [59.8%] vs 78 of 334 [23.4%]; P < .001); had higher leukocyte counts (median [interquartile range (IQR)], 9400 [6900-13 800] vs 5500 [4200-7400] cells/μL) and levels of C-reactive protein (median [IQR], 10.2 [6.4-17.0] vs 3.7 [1.0-7.3] mg/dL), procalcitonin (median [IQR], 0.27 [0.10-1.22] vs 0.06 [0.03-0.10] ng/mL), creatinine kinase-myocardial band (median [IQR], 3.2 [1.8-6.2] vs 0.9 [0.6-1.3] ng/mL), myohemoglobin (median [IQR], 128 [68-305] vs 39 [27-65] μg/L), high-sensitivity troponin I (median [IQR], 0.19 [0.08-1.12] vs <0.006 [<0.006-0.009] μg/L), N-terminal pro-B-type natriuretic peptide (median [IQR], 1689 [698-3327] vs 139 [51-335] pg/mL), aspartate aminotransferase (median [IQR], 40 [27-60] vs 29 [21-40] U/L), and creatinine (median [IQR], 1.15 [0.72-1.92] vs 0.64 [0.54-0.78] mg/dL); and had a higher proportion of multiple mottling and ground-glass opacity in radiographic findings (53 of 82 patients [64.6%] vs 15 of 334 patients [4.5%]). Greater proportions of patients with cardiac injury required noninvasive mechanical ventilation (38 of 82 [46.3%] vs 13 of 334 [3.9%]; P < .001) or invasive mechanical ventilation (18 of 82 [22.0%] vs 14 of 334 [4.2%]; P < .001) than those without cardiac injury. Complications were more common in patients with cardiac injury than those without cardiac injury and included acute respiratory distress syndrome (48 of 82 [58.5%] vs 49 of 334 [14.7%]; P < .001), acute kidney injury (7 of 82 [8.5%] vs 1 of 334 [0.3%]; P < .001), electrolyte disturbances (13 of 82 [15.9%] vs 17 of 334 [5.1%]; P = .003), hypoproteinemia (11 of 82 [13.4%] vs 16 of 334 [4.8%]; P = .01), and coagulation disorders (6 of 82 [7.3%] vs 6 of 334 [1.8%]; P = .02). Patients with cardiac injury had higher mortality than those without cardiac injury (42 of 82 [51.2%] vs 15 of 334 [4.5%]; P < .001). In a Cox regression model, patients with vs those without cardiac injury were at a higher risk of death, both during the time from symptom onset (hazard ratio, 4.26 [95% CI, 1.92-9.49]) and from admission to end point (hazard ratio, 3.41 [95% CI, 1.62-7.16]).  Conclusions and Relevance: Cardiac injury is a common condition among hospitalized patients with COVID-19 in Wuhan, China, and it is associated with higher risk of in-hospital mortality.  ","Mar 2020","JAMA cardiology","32211816","jasper.ho","1","Yes","Cohort Studies",,"Cardiology",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"106","M Guastalegname, A Vallone","Could chloroquine /hydroxychloroquine be harmful in Coronavirus Disease 2019 (COVID-19) treatment?",,"Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211771","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"106","M Guastalegname, A Vallone","Could chloroquine /hydroxychloroquine be harmful in Coronavirus Disease 2019 (COVID-19) treatment?",,"Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211771","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"107","G Fiorino, M Allocca, F Furfaro, D Gilardi, A Zilli, S Radice, A Spinelli, S Danese","Inflammatory bowel disease care in the COVID-19 pandemic era: the Humanitas, Milan experience.","The outbreak of the COVID-19 caused by Coronavirus SARS-CoV2, is rapidly spreading worldwide. This is the first pandemic caused by a Coronavirus in history. More than 150,000 confirmed cases worldwide are reported by the SARS-CoV2, with more than 5,000 COVID-19-related deaths on March 14th, 2020. Fever, chills, cough, shortness of breath, generalized myalgia, malaise, drowsy, diarrhoea, confusion, dyspnoea, and bilateral interstitial pneumonia are the common symptoms. No therapies are available, and the only way to contain the virus spread is to regularly and thoroughly clean oneself hands with an alcohol-based hand rub or wash them with soap and water, to maintain at least 1 metre (3 feet) distance from anyone who is coughing or sneezing, to avoid touching eyes, nose and mouth, and to stay home if one feels unwell. No data are available on the risk of COVID-19 and outcomes in inflammatory bowel disease (IBD) patients. Outbreak restrictions can impact on the IBD care. We aim to give a viewpoint on how operationally manage IBD patients ensuring quality of care in the current pandemic era.  ","Mar 2020","Journal of Crohn's & colitis","32211765","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"107","G Fiorino, M Allocca, F Furfaro, D Gilardi, A Zilli, S Radice, A Spinelli, S Danese","Inflammatory bowel disease care in the COVID-19 pandemic era: the Humanitas, Milan experience.","The outbreak of the COVID-19 caused by Coronavirus SARS-CoV2, is rapidly spreading worldwide. This is the first pandemic caused by a Coronavirus in history. More than 150,000 confirmed cases worldwide are reported by the SARS-CoV2, with more than 5,000 COVID-19-related deaths on March 14th, 2020. Fever, chills, cough, shortness of breath, generalized myalgia, malaise, drowsy, diarrhoea, confusion, dyspnoea, and bilateral interstitial pneumonia are the common symptoms. No therapies are available, and the only way to contain the virus spread is to regularly and thoroughly clean oneself hands with an alcohol-based hand rub or wash them with soap and water, to maintain at least 1 metre (3 feet) distance from anyone who is coughing or sneezing, to avoid touching eyes, nose and mouth, and to stay home if one feels unwell. No data are available on the risk of COVID-19 and outcomes in inflammatory bowel disease (IBD) patients. Outbreak restrictions can impact on the IBD care. We aim to give a viewpoint on how operationally manage IBD patients ensuring quality of care in the current pandemic era.  ","Mar 2020","Journal of Crohn's & colitis","32211765","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"108","Y Sun, V Koh, K Marimuthu, OT Ng, B Young, S Vasoo, M Chan, VJM Lee, PP De, T Barkham, RTP Lin, AR Cook, YS Leo","Epidemiological and Clinical Predictors of COVID-19.","BACKGROUND: Rapid identification of COVID-19 cases, which is crucial to outbreak containment efforts, is challenging due to the lack of pathognomonic symptoms and in settings with limited capacity for specialized nucleic acid-based reverse transcription polymerase chain reaction (PCR) testing.  METHODS: This retrospective case-control study involves subjects (7 to 98 years) presenting at the designated national outbreak screening centre and tertiary care hospital in Singapore for SARS-CoV-2 testing from January 26 to February 16, 2020. COVID-19 status was confirmed by PCR testing of sputum, nasopharyngeal swabs or throat swabs. Demographic, clinical, laboratory and exposure-risk variables ascertainable at presentation were analyzed to develop an algorithm for estimating the risk of COVID-19. Model development used Akaike's information criterion in a stepwise fashion to build logistic regression models, which were then translated into prediction scores. Performance was measured using receiver operating characteristics curves, adjusting for over-confidence using leave-out-one cross validation.  RESULTS: The study population included 788 subjects, of whom 54 (6.9%) were SARS-CoV-2 positive and 734 (93.1%) were SARS-CoV-2 negative. The median age was 34 years and 407 (51.7%) were female. Using leave-out-one cross validation, all the models incorporating clinical tests (Models 1, 2 and 3) performed well with areas under the receiver operating characteristics curve (AUC) of 0.91, 0.88 and 0.88 respectively. In comparison, Model 4 had an AUC of 0.65.  CONCLUSIONS: Rapidly ascertainable clinical and laboratory data could identify individuals at high risk of COVID-19 and enable prioritization of PCR-testing and containment efforts. Basic laboratory test results were crucial to prediction models.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211755","Meghanglibbery","1","Yes","Case Control Studies",,,,,,,,"General",,,,,,,,,,,,,,,,"Public Health",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,"Yes",
"108","Y Sun, V Koh, K Marimuthu, OT Ng, B Young, S Vasoo, M Chan, VJM Lee, PP De, T Barkham, RTP Lin, AR Cook, YS Leo","Epidemiological and Clinical Predictors of COVID-19.","BACKGROUND: Rapid identification of COVID-19 cases, which is crucial to outbreak containment efforts, is challenging due to the lack of pathognomonic symptoms and in settings with limited capacity for specialized nucleic acid-based reverse transcription polymerase chain reaction (PCR) testing.  METHODS: This retrospective case-control study involves subjects (7 to 98 years) presenting at the designated national outbreak screening centre and tertiary care hospital in Singapore for SARS-CoV-2 testing from January 26 to February 16, 2020. COVID-19 status was confirmed by PCR testing of sputum, nasopharyngeal swabs or throat swabs. Demographic, clinical, laboratory and exposure-risk variables ascertainable at presentation were analyzed to develop an algorithm for estimating the risk of COVID-19. Model development used Akaike's information criterion in a stepwise fashion to build logistic regression models, which were then translated into prediction scores. Performance was measured using receiver operating characteristics curves, adjusting for over-confidence using leave-out-one cross validation.  RESULTS: The study population included 788 subjects, of whom 54 (6.9%) were SARS-CoV-2 positive and 734 (93.1%) were SARS-CoV-2 negative. The median age was 34 years and 407 (51.7%) were female. Using leave-out-one cross validation, all the models incorporating clinical tests (Models 1, 2 and 3) performed well with areas under the receiver operating characteristics curve (AUC) of 0.91, 0.88 and 0.88 respectively. In comparison, Model 4 had an AUC of 0.65.  CONCLUSIONS: Rapidly ascertainable clinical and laboratory data could identify individuals at high risk of COVID-19 and enable prioritization of PCR-testing and containment efforts. Basic laboratory test results were crucial to prediction models.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32211755","jasper.ho","1","Yes","Case Control Studies",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,"Yes",
"110","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Role of changes in SARS-CoV-2 spike protein in the interaction with the human ACE2 receptor: An  analysis.","Many human viral diseases are a consequence of a zoonotic event. Some of the diseases caused by these zoonotic events have affected millions of people around the world, some of which have resulted in high rates of morbidity/mortality in humans. Changes in the viral proteins that function as ligands of the host receptor may promote the spillover between species. The most recent of these zoonotic events that have caused an ongoing epidemic of high magnitude is the Covid-19 epidemics caused by SARS-CoV-2. The aim of this study was to determine the mutation(s) in the sequence of the spike protein of the SARS-CoV-2 that might be favoring human to human transmission. An  approach was performed, and changes were detected in the S1 subunit of the receptor-binding domain of spike. The observed changes have significant effect on SARS-CoV-2 spike/ACE2 interaction and produce a reduction in the binding energy, compared to the one of the Bat-CoV to this receptor. The data presented in this study suggest a higher affinity of the SARS-Cov-2 spike protein to the human ACE2 receptor, compared to the one of Bat-CoV spike and ACE2. This could be the cause of the rapid viral spread of SARS-CoV-2 in humans.  ","2020","EXCLI journal","32210742","Meghanglibbery","1","Yes","Animal or Laboratory Study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"110","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Role of changes in SARS-CoV-2 spike protein in the interaction with the human ACE2 receptor: An  analysis.","Many human viral diseases are a consequence of a zoonotic event. Some of the diseases caused by these zoonotic events have affected millions of people around the world, some of which have resulted in high rates of morbidity/mortality in humans. Changes in the viral proteins that function as ligands of the host receptor may promote the spillover between species. The most recent of these zoonotic events that have caused an ongoing epidemic of high magnitude is the Covid-19 epidemics caused by SARS-CoV-2. The aim of this study was to determine the mutation(s) in the sequence of the spike protein of the SARS-CoV-2 that might be favoring human to human transmission. An  approach was performed, and changes were detected in the S1 subunit of the receptor-binding domain of spike. The observed changes have significant effect on SARS-CoV-2 spike/ACE2 interaction and produce a reduction in the binding energy, compared to the one of the Bat-CoV to this receptor. The data presented in this study suggest a higher affinity of the SARS-Cov-2 spike protein to the human ACE2 receptor, compared to the one of Bat-CoV spike and ACE2. This could be the cause of the rapid viral spread of SARS-CoV-2 in humans.  ","2020","EXCLI journal","32210742","jasper.ho","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"111","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Unrevealing sequence and structural features of novel coronavirus using  approaches: The main protease as molecular target.","Direct-acting antivirals are effective tools to control viral infections. SARS-CoV-2 is a coronavirus associated with the epidemiological outbreak in late 2019. Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease. Based on that and using an  approach, we evaluated SARS-CoV-2 main protease as a target for HIV-1 protease inhibitors to reveal the structural features related to their antiviral effect. Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease. Furthermore, broad library protease inhibitors obtained from PubChem and ZINC (www.zinc.docking.org) were evaluated. Our analysis revealed 20 compounds that could be clustered into three groups based on their chemical features. Then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against SARS-CoV-2 and other coronaviruses. Altogether, the results presented in this work contribute to gain a deep understanding of the molecular pharmacology of SARS-CoV-2 treatment and validate the use of protease inhibitors against SARS-CoV-2.  ","2020","EXCLI journal","32210741","Meghanglibbery","1","Yes","Animal or Laboratory Study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lab studies","Reports of interventions/treatments",,,,"Yes",
"111","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Unrevealing sequence and structural features of novel coronavirus using  approaches: The main protease as molecular target.","Direct-acting antivirals are effective tools to control viral infections. SARS-CoV-2 is a coronavirus associated with the epidemiological outbreak in late 2019. Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease. Based on that and using an  approach, we evaluated SARS-CoV-2 main protease as a target for HIV-1 protease inhibitors to reveal the structural features related to their antiviral effect. Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease. Furthermore, broad library protease inhibitors obtained from PubChem and ZINC (www.zinc.docking.org) were evaluated. Our analysis revealed 20 compounds that could be clustered into three groups based on their chemical features. Then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against SARS-CoV-2 and other coronaviruses. Altogether, the results presented in this work contribute to gain a deep understanding of the molecular pharmacology of SARS-CoV-2 treatment and validate the use of protease inhibitors against SARS-CoV-2.  ","2020","EXCLI journal","32210741","jasper.ho","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,"Yes",
"117","V Gewin","Five tips for moving teaching online as COVID-19 takes hold.",,"Mar 2020","Nature","32210377","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,"Medical Education",,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
