"Refid","Author","Title","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Sample Size","Sample Size is >5 (Case Reports ONLY) ","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> General","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Peds","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Speciality Bucket -> Can't tell","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality descriptive studies","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"125","RQ Cron, WW Chatham","The Rheumatologist's Role in Covid-19.","Mar 2020","The Journal of rheumatology","32209661","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,"Rheumatology",,,,,,"High quality descriptive studies",,,,,"Letter to the Editor/Opinion",,,,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.","Mar 2020","BMJ (Clinical research ed.)","32209544","Daniellevin","1","Yes","Case Series/Report","196","Yes","Anesthesia",,,,,"General",,"Internal Medicine","ICU",,,,,,,,,,,,,"High quality descriptive studies",,"Case report",,,,,,,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.","Mar 2020","BMJ (Clinical research ed.)","32209544","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,"ICU",,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.","Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.","Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.","Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","Daniellevin","1","Yes","Case Series/Report",,"No",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.","Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","jasper.ho","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,"Peds",,,,,,,,,,,"Case report",,"Imaging studies",,,,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.","Mar 2020","The Journal of infection","32209385","Daniellevin","1","Yes","Case Series/Report","34","Yes",,,,,,"General",,,,,,,,,,,,,,,,"High quality descriptive studies",,"Case report",,,,,,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.","Mar 2020","The Journal of infection","32209385","jasper.ho","1","Yes","Case Series/Report","34","Yes",,,,,,,,"Internal Medicine",,,,,,,,,,"Other","Pathology",,,,"Natural history studies","Case report",,,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.","Mar 2020","The Journal of infection","32209382","Daniellevin","1","Yes","Case Series/Report","34","Yes",,"Cardiology",,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.","Mar 2020","The Journal of infection","32209382","jasper.ho","1","Yes","Case Series/Report","34","Yes",,"Cardiology",,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.","Mar 2020","The Journal of infection","32209381","Daniellevin","1","Yes","Case Series/Report","32","Yes",,,,,,,,,"ICU",,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.","Mar 2020","The Journal of infection","32209381","jasper.ho","1","Yes","Case Series/Report","32","Yes",,,,,,,,,,,,,,,,,,"Other","Pathology",,,,"Natural history studies","Case report",,,,,,,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.","Mar 2020","Oral oncology","32209313","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"ICU",,,"Oncology",,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.","Mar 2020","Oral oncology","32209313","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,"Rheumatology",,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","Daniellevin","1","Yes","Case Series/Report","1","No",,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","jasper.ho","1","Yes","Case Series/Report","1","No",,,,,,"General",,"Internal Medicine",,,,,,,,,,"Other","Public health",,,,,"Case report","Reports of interventions/treatments",,,,,,"Yes",
"151","AHJ Danser, M Epstein, D Batlle","Renin-Angiotensin System Blockers and the COVID-19 Pandemic: At Present There Is No Evidence to Abandon Renin-Angiotensin System Blockers.","Mar 2020","Hypertension (Dallas, Tex. : 1979)","32208987","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,"Internal Medicine",,,,,,,,,,,,,,"High quality descriptive studies",,,"Reports of interventions/treatments",,,,,,"Yes",
"151","AHJ Danser, M Epstein, D Batlle","Renin-Angiotensin System Blockers and the COVID-19 Pandemic: At Present There Is No Evidence to Abandon Renin-Angiotensin System Blockers.","Mar 2020","Hypertension (Dallas, Tex. : 1979)","32208987","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,"Cardiology",,,,"General",,"Internal Medicine",,,,,,,,,,"Other","Nephrology",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"153","L Su, X Ma, H Yu, Z Zhang, P Bian, Y Han, J Sun, Y Liu, C Yang, J Geng, Z Zhang, Z Gai","The different clinical characteristics of corona virus disease cases between children and their families in China - the character of children with COVID-19.","Dec 2020","Emerging microbes & infections","32208917","Daniellevin","1","Yes","Case Series/Report","23","Yes",,,,,"Gastroenterology",,,,,,,,"Peds",,"Respirology",,,,,,,,,"Case report",,,,,,,"Yes",
"153","L Su, X Ma, H Yu, Z Zhang, P Bian, Y Han, J Sun, Y Liu, C Yang, J Geng, Z Zhang, Z Gai","The different clinical characteristics of corona virus disease cases between children and their families in China - the character of children with COVID-19.","Dec 2020","Emerging microbes & infections","32208917","jasper.ho","1","Yes","Case Series/Report","9","Yes",,,,,,,,,,,,,"Peds",,,,"Radiology",,,,,,"Natural history studies","Case report","Reports of interventions/treatments","Imaging studies",,,,,"Yes",
"155","R Kunz, M Minder","COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes.","03 2020","Swiss medical weekly","32208497","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Palliative",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"155","R Kunz, M Minder","COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes.","03 2020","Swiss medical weekly","32208497","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,,,,,"Other","Palliative care",,"Evidence-based guidance documents and guidelines",,,,"Reports of interventions/treatments",,,,,,"Yes",
"158","Swiss Society Of Intensive Care Medicine","Recommendations for the admission of patients with COVID-19 to intensive care and intermediate care units (ICUs and IMCUs).","03 2020","Swiss medical weekly","32208493","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report","Anesthesia",,,,,,,,"ICU",,,,,,,,,,,,,"High quality descriptive studies",,,,,,,,,"Yes",
"158","Swiss Society Of Intensive Care Medicine","Recommendations for the admission of patients with COVID-19 to intensive care and intermediate care units (ICUs and IMCUs).","03 2020","Swiss medical weekly","32208493","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,"Emergency Medicine",,,,,"Internal Medicine","ICU",,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,"Natural history studies",,,,"Letter to the Editor/Opinion",,,,"Yes",
"160","AB Patel, A Verma","COVID-19 and Angiotensin-Converting Enzyme Inhibitors and Angiotensin Receptor Blockers: What Is the Evidence?","Mar 2020","JAMA","32208485","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,"Cardiology",,,,"General",,,,,,,,,"Respirology",,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion",,,,"Yes",
"160","AB Patel, A Verma","COVID-19 and Angiotensin-Converting Enzyme Inhibitors and Angiotensin Receptor Blockers: What Is the Evidence?","Mar 2020","JAMA","32208485","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,"Cardiology",,"Family Medicine",,,,"Internal Medicine",,,,,,,,,,"Other","Nephrology",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"162","Z Huang, S Zhao, Z Li, W Chen, L Zhao, L Deng, B Song","The Battle Against Coronavirus Disease 2019 (COVID-19): Emergency Management and Infection Control in a Radiology Department.","Mar 2020","Journal of the American College of Radiology : JACR","32208140","Daniellevin","1","Yes","Case Series/Report",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"162","Z Huang, S Zhao, Z Li, W Chen, L Zhao, L Deng, B Song","The Battle Against Coronavirus Disease 2019 (COVID-19): Emergency Management and Infection Control in a Radiology Department.","Mar 2020","Journal of the American College of Radiology : JACR","32208140","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"163","D Fessell, C Cherniss","COVID-19 & Beyond: Micro-practices for Burnout Prevention and Emotional Wellness.","Mar 2020","Journal of the American College of Radiology : JACR","32208139","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion",,,,"Yes",
"163","D Fessell, C Cherniss","COVID-19 & Beyond: Micro-practices for Burnout Prevention and Emotional Wellness.","Mar 2020","Journal of the American College of Radiology : JACR","32208139","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,"Medical Education",,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"164","AH Davarpanah, A Mahdavi, A Sabri, TF Langroudi, S Kahkouee, S Haseli, MA Kazemi, P Mehrian, A Mahdavi, F Falahati, AM Tuchayi, M Bakhshayeshkaram, MS Taheri","Novel Screening and Triage Strategy in Iran During Deadly COVID-19 Epidemic; Value of Humanitarian Teleconsultation Service.","Mar 2020","Journal of the American College of Radiology : JACR","32208138","Daniellevin","1","Yes","Case Series/Report","1138","Yes",,,,,,,,,,,,,,,,,"Radiology",,,,,,,"Case report",,"Imaging studies",,,,,"Yes",
"164","AH Davarpanah, A Mahdavi, A Sabri, TF Langroudi, S Kahkouee, S Haseli, MA Kazemi, P Mehrian, A Mahdavi, F Falahati, AM Tuchayi, M Bakhshayeshkaram, MS Taheri","Novel Screening and Triage Strategy in Iran During Deadly COVID-19 Epidemic; Value of Humanitarian Teleconsultation Service.","Mar 2020","Journal of the American College of Radiology : JACR","32208138","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,"Radiology","Other","Public health",,,,,,,"Imaging studies",,,,,"Yes",
"165","W Guan, J Liu, C Yu","CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia.","Mar 2020","AJR. American journal of roentgenology","32208010","Daniellevin","1","Yes","Case Series/Report","1","No",,,,,,,,,,,,,,,,,"Radiology",,,,,,,"Case report",,,,,,,"Yes",
"165","W Guan, J Liu, C Yu","CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia.","Mar 2020","AJR. American journal of roentgenology","32208010","jasper.ho","1","Yes","Case Series/Report","1","No",,,,,,,,,,,,,,,,,"Radiology",,,,,,"Natural history studies",,,"Imaging studies",,,,,"Yes",
"168","AL Giwa, A Desai, A Duca","Novel 2019 coronavirus SARS-CoV-2 (COVID-19): An updated overview for emergency clinicians","05 2020","Emergency medicine practice","32207910","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,"Emergency Medicine",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion",,,,"Yes",
"168","AL Giwa, A Desai, A Duca","Novel 2019 coronavirus SARS-CoV-2 (COVID-19): An updated overview for emergency clinicians","05 2020","Emergency medicine practice","32207910","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"169","F Ferro, E Elefante, C Baldini, E Bartoloni, I Puxeddu, R Talarico, M Mosca, S Bombardieri","COVID-19: the new challenge for rheumatologists.",,"Clinical and experimental rheumatology","32207680","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,"Internal Medicine",,,,,,,,"Rheumatology",,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion",,,,"Yes",
"169","F Ferro, E Elefante, C Baldini, E Bartoloni, I Puxeddu, R Talarico, M Mosca, S Bombardieri","COVID-19: the new challenge for rheumatologists.",,"Clinical and experimental rheumatology","32207680","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,"Rheumatology",,,,,"Evidence-based guidance documents and guidelines",,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"175","GE Nicol, JF Piccirillo, BH Mulsant, EJ Lenze","Action at a Distance: Geriatric Research during a Pandemic.","Mar 2020","Journal of the American Geriatrics Society","32207542","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,"Other","Geriatrics",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"175","GE Nicol, JF Piccirillo, BH Mulsant, EJ Lenze","Action at a Distance: Geriatric Research during a Pandemic.","Mar 2020","Journal of the American Geriatrics Society","32207542","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Geriatrics",,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"179","Z Chen, Y Li, B Wu, Y Hou, J Bao, X Deng","A Patient with COVID-19 Presenting a False-Negative Reverse Transcriptase Polymerase Chain Reaction Result.","Mar 2020","Korean journal of radiology","32207257","Meghanglibbery","1","Yes","Case Series/Report","1","No",,,,,,"General",,"Internal Medicine",,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"179","Z Chen, Y Li, B Wu, Y Hou, J Bao, X Deng","A Patient with COVID-19 Presenting a False-Negative Reverse Transcriptase Polymerase Chain Reaction Result.","Mar 2020","Korean journal of radiology","32207257","jasper.ho","1","Yes","Case Series/Report","1","No",,,,,,,,,,,,,,,,,,"Other","Pathology",,,,,"Case report",,"Imaging studies",,,,,"Yes",
"181","R Sun, H Liu, X Wang","Mediastinal Emphysema, Giant Bulla, and Pneumothorax Developed during the Course of COVID-19 Pneumonia.","Mar 2020","Korean journal of radiology","32207255","Meghanglibbery","1","Yes","Case Series/Report","1","No",,,,,,,,,,,,,,,,,"Radiology",,,,,,,"Case report",,,,,,,"Yes",
"181","R Sun, H Liu, X Wang","Mediastinal Emphysema, Giant Bulla, and Pneumothorax Developed during the Course of COVID-19 Pneumonia.","Mar 2020","Korean journal of radiology","32207255","jasper.ho","1","Yes","Case Series/Report","1","No",,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,"Imaging studies",,,,,"Yes",
"182","F Moro, D Buonsenso, MC Moruzzi, R Inchingolo, A Smargiassi, L Demi, AR Larici, G Scambia, A Lanzone, AC Testa","How to perform lung ultrasound in pregnant women with suspected COVID-19 infection.","Mar 2020","Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology","32207208","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,"OBGYN",,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"182","F Moro, D Buonsenso, MC Moruzzi, R Inchingolo, A Smargiassi, L Demi, AR Larici, G Scambia, A Lanzone, AC Testa","How to perform lung ultrasound in pregnant women with suspected COVID-19 infection.","Mar 2020","Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology","32207208","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,"OBGYN",,,,,,"Radiology",,,,,,,,,"Imaging studies",,,,,"Yes",
"183","C Lees","ISUOG Safety Committee Position Statement: safe performance of obstetric and gynecological scans and equipment cleaning in the context of COVID-19.","Mar 2020","Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology","32207189","Meghanglibbery","1","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes",
"183","C Lees","ISUOG Safety Committee Position Statement: safe performance of obstetric and gynecological scans and equipment cleaning in the context of COVID-19.","Mar 2020","Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology","32207189","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,"OBGYN",,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,"Reports of interventions/treatments",,,,,,"Yes",
"184","G Rombolà, M Hedemperger, L Pedrini, M Farina, F Aucella, P Messa, G Brunori","Practical indications for the prevention and management of SARS-CoV-2 in ambulatory dialysis patients: lessons from the first phase of the epidemics in Lombardy.","Mar 2020","Journal of nephrology","32207068","Meghanglibbery","1","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes",
"184","G Rombolà, M Hedemperger, L Pedrini, M Farina, F Aucella, P Messa, G Brunori","Practical indications for the prevention and management of SARS-CoV-2 in ambulatory dialysis patients: lessons from the first phase of the epidemics in Lombardy.","Mar 2020","Journal of nephrology","32207068","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Nephrology",,"Evidence-based guidance documents and guidelines",,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"185","F Zheng, C Liao, QH Fan, HB Chen, XG Zhao, ZG Xie, XL Li, CX Chen, XX Lu, ZS Liu, W Lu, CB Chen, R Jiao, AM Zhang, JT Wang, XW Ding, YG Zeng, LP Cheng, QF Huang, J Wu, XC Luo, ZJ Wang, YY Zhong, Y Bai, XY Wu, RM Jin","Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China.","Mar 2020","Current medical science","32207032","Meghanglibbery","1","Yes","Cohort Studies","25","N/A - pick if not case report",,,,,,,,,,,,,"Peds",,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"185","F Zheng, C Liao, QH Fan, HB Chen, XG Zhao, ZG Xie, XL Li, CX Chen, XX Lu, ZS Liu, W Lu, CB Chen, R Jiao, AM Zhang, JT Wang, XW Ding, YG Zeng, LP Cheng, QF Huang, J Wu, XC Luo, ZJ Wang, YY Zhong, Y Bai, XY Wu, RM Jin","Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China.","Mar 2020","Current medical science","32207032","jasper.ho","1","Yes","Case Series/Report","25","Yes",,,,,,,,,,,,,"Peds",,,,,,,,,,"Natural history studies","Case report",,,,,,,"Yes",
"187","CI Vardavas, K Nikitara","COVID-19 and smoking: A systematic review of the evidence.","2020","Tobacco induced diseases","32206052","Meghanglibbery","1","Yes","Systematic Review","191","N/A - pick if not case report",,,,,,"General",,"Internal Medicine",,,,,,,,,,,,,,,"Natural history studies",,,,,,,,"Yes",
"187","CI Vardavas, K Nikitara","COVID-19 and smoking: A systematic review of the evidence.","2020","Tobacco induced diseases","32206052","jasper.ho","1","Yes","Systematic Review",,"N/A - pick if not case report",,,,"Family Medicine",,"General",,,,,,,,,"Respirology",,,,,,,"High quality descriptive studies",,,,,,,,,"Yes",
"189","Y Shi, Y Wang, C Shao, J Huang, J Gan, X Huang, E Bucci, M Piacentini, G Ippolito, G Melino","COVID-19 infection: the perspectives on immune responses.","Mar 2020","Cell death and differentiation","32205856","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,"Internal Medicine",,,,,,,,,,"Other","Immunology",,,,"Natural history studies",,,,,,,,"Yes",
"189","Y Shi, Y Wang, C Shao, J Huang, J Gan, X Huang, E Bucci, M Piacentini, G Ippolito, G Melino","COVID-19 infection: the perspectives on immune responses.","Mar 2020","Cell death and differentiation","32205856","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,"Internal Medicine",,,,,,,,"Rheumatology",,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"194","L Chen, J Lou, Y Bai, M Wang","COVID-19 Disease With Positive Fecal and Negative Pharyngeal and Sputum Viral Tests.","Mar 2020","The American journal of gastroenterology","32205644","becky.jones","1","Yes","Case Series/Report",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"194","L Chen, J Lou, Y Bai, M Wang","COVID-19 Disease With Positive Fecal and Negative Pharyngeal and Sputum Viral Tests.","Mar 2020","The American journal of gastroenterology","32205644","jasper.ho","1","Yes","Case Series/Report","1","No",,,,,,"General",,,,,,,,,,,,,,,,,,"Case report",,,,,,,"Yes",
"199","H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu","Updated approaches against SARS-CoV-2.","Mar 2020","Antimicrobial agents and chemotherapy","32205349","becky.jones","1","Yes","Systematic Review",,"N/A - pick if not case report",,,"Emergency Medicine",,,"General",,"Internal Medicine",,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,"Yes",
"199","H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu","Updated approaches against SARS-CoV-2.","Mar 2020","Antimicrobial agents and chemotherapy","32205349","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,"General",,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"199","H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu","Updated approaches against SARS-CoV-2.","Mar 2020","Antimicrobial agents and chemotherapy","32205349","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,,,,,,,,,,,,,,,"Other","Microbiology",,,"High quality descriptive studies",,,,,,,,,"Yes",
"201","G Figueroa-Parra, GM Aguirre-Garcia, CM Gamboa-Alonso, A Camacho-Ortiz, DA Galarza-Delgado","Are my patients with rheumatic diseases at higher risk of COVID-19?","Mar 2020","Annals of the rheumatic diseases","32205336","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"201","G Figueroa-Parra, GM Aguirre-Garcia, CM Gamboa-Alonso, A Camacho-Ortiz, DA Galarza-Delgado","Are my patients with rheumatic diseases at higher risk of COVID-19?","Mar 2020","Annals of the rheumatic diseases","32205336","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"N/A - pick if not case report",,,,"Family Medicine",,,,"Internal Medicine",,,,,,,,"Rheumatology",,,,,,,,,,,"Letter to the Editor/Opinion",,,,"Yes",
"207","X Zhang, H Cai, J Hu, J Lian, J Gu, S Zhang, C Ye, Y Lu, C Jin, G Yu, H Jia, Y Zhang, J Sheng, L Li, Y Yang","Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings.","Mar 2020","International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases","32205284","becky.jones","1","Yes","Case Series/Report","573","Yes",,,"Emergency Medicine",,,,,"Internal Medicine","ICU",,,,,,,,"Radiology",,,,,,"Natural history studies","Case report",,,,,,,"Yes",
