"pmid","date","jabbrv"
"32389331","2020-05-12","Am J Surg"
"32389322","2020-05-12","Actas Dermosifiliogr"
"32389318","2020-05-12","Clin Oncol (R Coll Radiol)"
"32389317","2020-05-12","Fungal Biol"
"32389195","2020-05-12","Lancet Glob Health"
"32389194","2020-05-12","Lancet Glob Health"
"32389182","2020-05-12","Lancet Planet Health"
"32389163","2020-05-12","Disaster Med Public Health Prep"
"32389162","2020-05-12","Infect Control Hosp Epidemiol"
"32389157","2020-05-12","Infect Control Hosp Epidemiol"
"32389156","2020-05-12","Infect Control Hosp Epidemiol"
"32389155","2020-05-12","Infect Control Hosp Epidemiol"
"32389153","2020-05-12","Infect Control Hosp Epidemiol"
"32389150","2020-05-12","Infect Control Hosp Epidemiol"
"32389148","2020-05-12","Psychol Med"
"32389144","2020-05-12","Disaster Med Public Health Prep"
"32389141","2020-05-12","Int Psychogeriatr"
"32389134","2020-05-12","Infect Control Hosp Epidemiol"
"32389133","2020-05-12","Infect Control Hosp Epidemiol"
"32389132","2020-05-12","Infect Control Hosp Epidemiol"
"32389131","2020-05-12","Infect Control Hosp Epidemiol"
"32389117","2020-05-12","Infect Disord Drug Targets"
"32389101","2020-05-12","Crit Care Resusc"
"32389027","2020-05-12","J Diabetes Sci Technol"
"32389025","2020-05-12","Ann Pharmacother"
"32388976","2020-05-12","ACS Infect Dis"
"32388969","2020-05-12","Pol Arch Intern Med"
"32388948","2020-05-12","Zhonghua Yu Fang Yi Xue Za Zhi"
"32388947","2020-05-12","Zhonghua Yu Fang Yi Xue Za Zhi"
"32388946","2020-05-12","Zhonghua Yu Fang Yi Xue Za Zhi"
"32388945","2020-05-12","Zhonghua Yu Fang Yi Xue Za Zhi"
"32392510","2020-05-12","CMAJ"
"32392504","2020-05-12","CMAJ"
"32392495","2020-05-12","CMAJ"
"32392490","2020-05-12","CMAJ"
"32391920","2020-05-12","J Med Virol"
"32391912","2020-05-12","Eur Heart J Cardiovasc Imaging"
"32391885","2020-05-12","Eur Heart J"
"32391880","2020-05-12","Eur Heart J"
"32391877","2020-05-12","Eur Heart J"
"32391864","2020-05-12","JAMA"
"32391856","2020-05-12","JAMA Intern Med"
"32391855","2020-05-12","JAMA"
"32391852","2020-05-12","JAMA"
"32391801","2020-05-12","JMIR Public Health Surveill"
"32391746","2020-05-12","Infect Control Hosp Epidemiol"
"32391742","2020-05-12","Radiology"
"32391741","2020-05-12","Radiology"
"32391720","2020-05-12","Can J Psychiatry"
"32391719","2020-05-12","Eur J Prev Cardiol"
"32391713","2020-05-12","J Cutan Med Surg"
"32391676","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391675","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391673","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391672","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391671","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391670","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391669","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391668","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391667","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391666","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391665","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391664","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391663","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391662","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391661","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391660","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391659","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391658","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391657","2020-05-12","Zhejiang Da Xue Xue Bao Yi Xue Ban"
"32391651","2020-05-12","Oral Dis"
"32391620","2020-05-12","J Rural Health"
"32391603","2020-05-12","Respirology"
"32390091","2020-05-12","Infection"
"32390080","2020-05-12","Intern Emerg Med"
"32390064","2020-05-12","Aging Clin Exp Res"
"32389999","2020-05-12","Med Sci Monit Basic Res"
"32389941","2020-05-12","Biosci Trends"
"32389940","2020-05-12","Biosci Trends"
"32389893","2020-05-12","Clin Neurol Neurosurg"
"32389891","2020-05-12","Water Res"
"32389882","2020-05-12","J Sport Health Sci"
"32389878","2020-05-12","World Neurosurg"
"32389877","2020-05-12","World Neurosurg"
"32389859","2020-05-12","Pharmacol Res"
"32389852","2020-05-12","Int J Infect Dis"
"32389851","2020-05-12","Int J Infect Dis"
"32389850","2020-05-12","Int J Infect Dis"
"32389849","2020-05-12","Int J Infect Dis"
"32389848","2020-05-12","Int J Infect Dis"
"32389847","2020-05-12","Int J Infect Dis"
"32389846","2020-05-12","Int J Infect Dis"
"32389845","2020-05-12","Int J Infect Dis"
"32389838","2020-05-12","Brain Stimul"
"32389803","2020-05-12","Biol Blood Marrow Transplant"
"32389799","2020-05-12","Mol Cell Endocrinol"
"32389787","2020-05-12","J Infect"
"32389785","2020-05-12","J Infect"
"32389784","2020-05-12","J Infect"
"32389783","2020-05-12","J Infect"
"32389782","2020-05-12","J Infect"
"32389757","2020-05-12","Radiother Oncol"
"32389756","2020-05-12","Radiother Oncol"
"32389755","2020-05-12","Radiother Oncol"
"32389754","2020-05-12","Radiother Oncol"
"32389753","2020-05-12","Radiother Oncol"
"32389752","2020-05-12","Radiother Oncol"
"32389734","2020-05-12","Spine J"
"32389724","2020-05-12","Chest"
"32389723","2020-05-12","Int J Antimicrob Agents"
"32389721","2020-05-12","Int J Antimicrob Agents"
"32389720","2020-05-12","Int J Antimicrob Agents"
"32389715","2020-05-12","J Am Acad Dermatol"
"32389714","2020-05-12","J Am Acad Dermatol"
"32389704","2020-05-12","Brain Behav Immun"
"32389426","2020-05-12","Lung Cancer"
"32388938","2020-05-11","Zhonghua Yu Fang Yi Xue Za Zhi"
"32388937","2020-05-11","Zhonghua Nei Ke Za Zhi"
"32388936","2020-05-11","Zhonghua Liu Xing Bing Xue Za Zhi"
"32388935","2020-05-11","Zhonghua Liu Xing Bing Xue Za Zhi"
"32388934","2020-05-11","Zhonghua Liu Xing Bing Xue Za Zhi"
"32388933","2020-05-11","Zhonghua Liu Xing Bing Xue Za Zhi"
"32388906","2020-05-11","J Diabetes"
"32388880","2020-05-11","J Peripher Nerv Syst"
"32388843","2020-05-11","Tijdschr Psychiatr"
"32388835","2020-05-11","Intern Emerg Med"
"32388805","2020-05-11","Strahlenther Onkol"
"32388750","2020-05-11","Clin Rheumatol"
"32388748","2020-05-11","Clin Rheumatol"
"32388722","2020-05-11","Eur J Pediatr"
"32388706","2020-05-11","Obes Surg"
"32388705","2020-05-11","Obes Surg"
"32388698","2020-05-11","Mol Biol Rep"
"32388681","2020-05-11","Acta Neurochir (Wien)"
"32388676","2020-05-11","Infection"
"32388643","2020-05-11","Arch Dermatol Res"
"32388613","2020-05-11","Eur J Nucl Med Mol Imaging"
"32388565","2020-05-11","Eur Heart J"
"32388564","2020-05-11","Neurosurgery"
"32388551","2020-05-11","Neurosurgery"
"32388547","2020-05-11","Eur Heart J"
"32388537","2020-05-11","Signal Transduct Target Ther"
"32388486","2020-05-11","J Photochem Photobiol B"
"32388480","2020-05-11","Med Hypotheses"
"32388476","2020-05-11","Med Hypotheses"
"32388472","2020-05-11","J Clin Virol"
"32388471","2020-05-11","J Clin Virol"
"32388470","2020-05-11","J Clin Virol"
"32388469","2020-05-11","J Clin Virol"
"32388468","2020-05-11","J Clin Virol"
"32388462","2020-05-11","EBioMedicine"
"32388461","2020-05-11","Mult Scler Relat Disord"
"32388458","2020-05-11","Mult Scler Relat Disord"
"32388452","2020-05-11","Mult Scler Relat Disord"
"32388451","2020-05-11","Mult Scler Relat Disord"
"32388418","2020-05-11","Psychiatry Res"
"32388417","2020-05-11","Psychiatry Res"
"32388390","2020-05-11","Med Hypotheses"
"32388336","2020-05-11","Arch Gerontol Geriatr"
"32388333","2020-05-11","Diabetes Metab Syndr"
"32388332","2020-05-11","Diabetes Metab Syndr"
"32388331","2020-05-11","Diabetes Metab Syndr"
"32388330","2020-05-11","Diabetes Metab Syndr"
"32388328","2020-05-11","Diabetes Metab Syndr"
"32388327","2020-05-11","Diabetes Metab Syndr"
"32388326","2020-05-11","Diabetes Metab Syndr"
"32388324","2020-05-11","Diabetes Metab Syndr"
"32388248","2020-05-11","Environ Int"
"32388230","2020-05-11","Leuk Res"
"32388221","2020-05-11","Int J Nurs Stud"
"32388178","2020-05-11","Psychiatry Res"
"32388177","2020-05-11","Psychiatry Res"
"32388175","2020-05-11","Psychiatry Res"
"32388173","2020-05-11","Psychiatry Res"
"32388171","2020-05-11","Eur J Cancer"
"32388162","2020-05-11","Sci Total Environ"
"32388159","2020-05-11","Sci Total Environ"
"32388156","2020-05-11","Clin Neurophysiol"
"32388138","2020-05-11","Med Hypotheses"
"32388137","2020-05-11","Sci Total Environ"
"32388136","2020-05-11","Sci Total Environ"
"32388129","2020-05-11","Sci Total Environ"
"32388123","2020-05-11","Compr Psychiatry"
"32388117","2020-05-11","Nurse Educ Pract"
"32388083","2020-05-11","Int J Pediatr Otorhinolaryngol"
"32388072","2020-05-11","Arch Gerontol Geriatr"
"32388068","2020-05-11","Thromb Res"
"32388011","2020-05-11","Public Health"
"32388010","2020-05-11","Public Health"
"32387969","2020-05-11","J Clin Virol"
"32387968","2020-05-11","J Clin Virol"
"32387967","2020-05-11","J Clin Virol"
"32387924","2020-05-11","Eur J Radiol"
"32387870","2020-05-11","Forensic Sci Int"
"32387864","2020-05-11","Diabetes Metab Syndr"
"32387855","2020-05-11","Ann Diagn Pathol"
"32387833","2020-05-11","Epilepsy Behav"
"32387823","2020-05-11","Sci Total Environ"
"32387822","2020-05-11","Sci Total Environ"
"32387821","2020-05-11","Sci Total Environ"
"32387796","2020-05-11","Psychiatry Res"
"32387795","2020-05-11","Psychiatry Res"
"32387794","2020-05-11","Psychiatry Res"
"32387792","2020-05-11","Psychiatry Res"
"32387791","2020-05-11","Psychiatry Res"
"32387790","2020-05-11","Psychiatry Res"
"32387786","2020-05-11","World Neurosurg"
"32387778","2020-05-11","Sci Total Environ"
"32387762","2020-05-11","J Neurol Sci"
"32387756","2020-05-11","Med Hypotheses"
"32387746","2020-05-11","J Hosp Infect"
"32387745","2020-05-11","J Hosp Infect"
"32387744","2020-05-11","J Hosp Infect"
"32387713","2020-05-11","J Thorac Oncol"
"32387699","2020-05-11","Diabetes Metab"
"32387694","2020-05-11","Travel Med Infect Dis"
"32387693","2020-05-11","Hand Surg Rehabil"
"32387682","2020-05-11","Microbes Infect"
"32387671","2020-05-11","Environ Pollut"
"32387668","2020-05-11","J Am Acad Dermatol"
"32387666","2020-05-11","J Am Acad Dermatol"
"32387660","2020-05-11","J Am Acad Dermatol"
"32387656","2020-05-11","J Am Acad Dermatol"
"32387623","2020-05-11","J Am Coll Cardiol"
"32387620","2020-05-11","Int J Surg"
"32387617","2020-05-11","Biomed J"
"32387581","2020-05-11","J Thorac Oncol"
"32387580","2020-05-11","J Thorac Oncol"
"32387575","2020-05-11","J Pain Symptom Manage"
"32387574","2020-05-11","J Pain Symptom Manage"
"32387565","2020-05-11","J Minim Invasive Gynecol"
"32387564","2020-05-11","Infect Genet Evol"
"32387562","2020-05-11","Infect Genet Evol"
"32387547","2020-05-11","Radiother Oncol"
"32387545","2020-05-11","Radiother Oncol"
"32387544","2020-05-11","Radiother Oncol"
"32387541","2020-05-11","Gastroenterology"
"32387540","2020-05-11","Gastroenterology"
"32387535","2020-05-11","Ann Allergy Asthma Immunol"
"32387534","2020-05-11","Ann Allergy Asthma Immunol"
"32387514","2020-05-11","Brain Behav Immun"
"32387513","2020-05-11","Brain Behav Immun"
"32387512","2020-05-11","Brain Behav Immun"
"32387510","2020-05-11","Brain Behav Immun"
"32387509","2020-05-11","Brain Behav Immun"
"32387508","2020-05-11","Brain Behav Immun"
"32387502","2020-05-11","Can J Cardiol"
"32387496","2020-05-11","Gastroenterology"
"32387494","2020-05-11","Gastroenterology"
"32387493","2020-05-11","Gastroenterology"
"32387482","2020-05-11","Ophthalmology"
"32387481","2020-05-11","Ophthalmology"
"32387474","2020-05-11","J Infect"
"32387470","2020-05-11","Autoimmun Rev"
"32387456","2020-05-11","Ann Oncol"
"32387409","2020-05-11","Travel Med Infect Dis"
"32387389","2020-05-11","Microb Pathog"
"32387384","2020-05-11","Math Biosci"
"32387346","2020-05-11","Brain Behav Immun"
"32387345","2020-05-11","Brain Behav Immun"
"32387343","2020-05-11","Brain Behav Immun"
"32387342","2020-05-11","Brain Behav Immun"
"32387334","2020-05-11","Microbes Infect"
"32387333","2020-05-11","Microbes Infect"
"32387332","2020-05-11","Microbes Infect"
"32387330","2020-05-11","Diabetes Res Clin Pract"
"32387329","2020-05-11","Diabetes Res Clin Pract"
"32387327","2020-05-11","Am J Obstet Gynecol"
"32387323","2020-05-11","Am J Obstet Gynecol"
"32387321","2020-05-11","Am J Obstet Gynecol"
"32387320","2020-05-11","Med Mal Infect"
"32387301","2020-05-11","Pharmacol Res"
"32387262","2020-05-11","Drug Discov Today"
"32387247","2020-05-11","Heart Rhythm"
"32387246","2020-05-11","Heart Rhythm"
"32387238","2020-05-11","Transfus Apher Sci"
"32387230","2020-05-11","Res Social Adm Pharm"
"32387229","2020-05-11","Res Social Adm Pharm"
"32387226","2020-05-11","Clin Gastroenterol Hepatol"
"32387212","2020-05-11","Int J Surg"
"32387180","2020-05-11","Psychoneuroendocrinology"
"32387174","2020-05-11","Am J Prev Med"
"32387170","2020-05-11","Ann Allergy Asthma Immunol"
"32387167","2020-05-11","Ann Allergy Asthma Immunol"
"32387163","2020-05-11","J Thorac Cardiovasc Surg"
"32387156","2020-05-11","J Hand Surg Am"
"32387155","2020-05-11","J Hand Surg Am"
"32387151","2020-05-11","Heart Lung"
"32387139","2020-05-11","J Pain Symptom Manage"
"32387138","2020-05-11","J Pain Symptom Manage"
"32387113","2020-05-11","J Pediatr"
"32387102","2020-05-11","J Infect Public Health"
"32387093","2020-05-11","Clin Chim Acta"
"32387089","2020-05-11","J Am Coll Radiol"
"32387088","2020-05-11","J Am Coll Radiol"
"32387085","2020-05-11","Radiography (Lond)"
"32387082","2020-05-11","Pancreatology"
"32387074","2020-05-11","J Hepatol"
"32387073","2020-05-11","J Hepatol"
"32387072","2020-05-11","Eur Ann Otorhinolaryngol Head Neck Dis"
"32387062","2020-05-11","Bull Cancer"
"32387061","2020-05-11","Bull Cancer"
"32387058","2020-05-11","J Visc Surg"
"32387057","2020-05-11","J Visc Surg"
"32387045","2020-05-11","Clin Oncol (R Coll Radiol)"
"32387041","2020-05-11","Arch Med Res"
"32387040","2020-05-11","Arch Med Res"
"32387029","2020-05-11","Oral Oncol"
"32387014","2020-05-11","Encephale"
"32387011","2020-05-11","Vaccine"
"32387006","2020-05-11","Braz J Phys Ther"
"32387005","2020-05-11","Braz J Phys Ther"
"32387004","2020-05-11","Braz J Phys Ther"
"32387001","2020-05-11","Early Hum Dev"
"32386997","2020-05-11","Med Intensiva"
"32386993","2020-05-11","Int J Obstet Anesth"
"32386987","2020-05-11","Arch Bronconeumol"
"32386986","2020-05-11","Thromb Res"
"32386985","2020-05-11","Thromb Res"
"32386966","2020-05-11","Transfus Clin Biol"
"32386950","2020-05-11","Acad Radiol"
"32386948","2020-05-11","Acad Radiol"
"32386947","2020-05-11","Rev Esp Geriatr Gerontol"
"32386946","2020-05-11","Eur J Intern Med"
"32386942","2020-05-11","Dig Liver Dis"
"32386927","2020-05-11","Aten Primaria"
"32386911","2020-05-11","Gynecol Oncol"
"32386903","2020-05-11","J Fr Ophtalmol"
"32386901","2020-05-11","J Fr Ophtalmol"
"32386712","2020-05-11","Am J Surg"
"32386687","2020-05-11","Rev Bras Anestesiol"
"32386675","2020-05-11","J Formos Med Assoc"
"32386672","2020-05-11","Br J Oral Maxillofac Surg"
"32386671","2020-05-11","Br J Oral Maxillofac Surg"
"32386670","2020-05-11","Br J Oral Maxillofac Surg"
"32386664","2020-05-11","Maturitas"
"32386610","2020-05-11","Lancet Infect Dis"
"32386582","2020-05-11","Lancet"
"32386581","2020-05-11","Lancet"
"32386580","2020-05-11","Lancet"
"32386576","2020-05-11","Lancet"
"32386571","2020-05-11","Lancet Respir Med"
"32386570","2020-05-11","Lancet Respir Med"
"32386567","2020-05-11","Lancet Diabetes Endocrinol"
"32386565","2020-05-11","Lancet"
"32386564","2020-05-11","Lancet"
"32386563","2020-05-11","Lancet"
"32386562","2020-05-11","Lancet Child Adolesc Health"
"32386545","2020-05-11","Cell"
"32386514","2020-05-11","Syst Rev"
"32386473","2020-05-11","Can J Surg"
"32386472","2020-05-11","Can J Surg"
"32386471","2020-05-11","Can J Surg"
"32387517","2020-05-11","Chest"
"32386902","2020-05-11","J Fr Ophtalmol"
"32386898","2020-05-11","Am J Otolaryngol"
"32386897","2020-05-11","Am J Otolaryngol"
"32386894","2020-05-11","Gastroenterol Hepatol"
"32386886","2020-05-11","Pulmonology"
"32386882","2020-05-11","J Arthroplasty"
"32386880","2020-05-11","Arch Bronconeumol"
"32386875","2020-05-11","Trends Cancer"
"32386848","2020-05-11","Mol Genet Metab"
"32386838","2020-05-11","Injury"
"32386837","2020-05-11","Br J Anaesth"
"32386834","2020-05-11","Br J Anaesth"
"32386833","2020-05-11","Br J Anaesth"
"32386832","2020-05-11","Br J Anaesth"
"32386820","2020-05-11","Br J Anaesth"
"32386808","2020-05-11","Am J Emerg Med"
"32386807","2020-05-11","Am J Emerg Med"
"32386804","2020-05-11","Am J Emerg Med"
"32386796","2020-05-11","J Pediatr Nurs"
"32386752","2020-05-11","J Manipulative Physiol Ther"
"32386744","2020-05-11","Med Clin (Barc)"
"32386725","2020-05-11","J Fr Ophtalmol"
"32387577","2020-05-11","J Pain Symptom Manage"
"32386464","2020-05-10","Obesity (Silver Spring)"
"32386460","2020-05-10","Pediatr Dermatol"
"32386459","2020-05-10","J Eur Acad Dermatol Venereol"
"32386449","2020-05-10","Hepatol Res"
"32386448","2020-05-10","J Eur Acad Dermatol Venereol"
"32386447","2020-05-10","J Eur Acad Dermatol Venereol"
"32386446","2020-05-10","J Eur Acad Dermatol Venereol"
"32386444","2020-05-10","Transpl Int"
"32386442","2020-05-10","J Eur Acad Dermatol Venereol"
"32386441","2020-05-10","Acta Obstet Gynecol Scand"
"32386440","2020-05-10","Acta Obstet Gynecol Scand"
"32386438","2020-05-10","J Eur Acad Dermatol Venereol"
"32386437","2020-05-10","J Eur Acad Dermatol Venereol"
"32386435","2020-05-10","J Eur Acad Dermatol Venereol"
"32386433","2020-05-10","Headache"
"32386431","2020-05-10","J Eur Acad Dermatol Venereol"
"32386354","2020-05-10","Drug Test Anal"
"32386285","2020-05-10","Rhinology"
"32386264","2020-05-10","Emerg Med Australas"
"32386263","2020-05-10","Emerg Med Australas"
"32386246","2020-05-10","Emerg Med Australas"
"32386218","2020-05-10","Phys Ther"
"32386190","2020-05-10","Clin Chem Lab Med"
"32386189","2020-05-10","Clin Chem Lab Med"
"32386188","2020-05-10","Clin Chem Lab Med"
"32386187","2020-05-10","Clin Chem Lab Med"
"32386147","2020-05-10","IEEE Trans Med Imaging"
"32386125","2020-05-10","Arthritis Care Res (Hoboken)"
"32386064","2020-05-10","Br J Surg"
"32386057","2020-05-10","Lab Med"
"32386056","2020-05-10","Inflamm Bowel Dis"
"32386027","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386019","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386018","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386017","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386016","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386015","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386014","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386013","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386012","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32386011","2020-05-10","Zhong Nan Da Xue Xue Bao Yi Xue Ban"
"32385990","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385988","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385987","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385986","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385985","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385982","2020-05-10","Zhonghua Wei Zhong Bing Ji Jiu Yi Xue"
"32385979","2020-05-10","Pol Arch Intern Med"
"32385978","2020-05-10","Pol Arch Intern Med"
"32385976","2020-05-10","Pol Arch Intern Med"
"32385954","2020-05-10","Eur J Heart Fail"
"32385938","2020-05-10","Dermatol Ther"
"32385914","2020-05-10","Ann Neurol"
"32385900","2020-05-10","Int J Eat Disord"
"32385893","2020-05-10","Dermatol Ther"
"32385891","2020-05-10","Dermatol Ther"
"32385869","2020-05-10","Dermatol Ther"
"32385859","2020-05-10","J Eur Acad Dermatol Venereol"
"32385858","2020-05-10","Clin Exp Dermatol"
"32385855","2020-05-10","Int J Dermatol"
"32385853","2020-05-10","J Endocrinol Invest"
"32385842","2020-05-10","Infection"
"32385829","2020-05-10","Daru"
"32385799","2020-05-10","J Robot Surg"
"32385785","2020-05-10","Cardiovasc Drugs Ther"
"32385749","2020-05-10","Graefes Arch Clin Exp Ophthalmol"
"32385568","2020-05-10","Langenbecks Arch Surg"
"32385100","2020-05-10","Science"
"32385067","2020-05-10","CMAJ"
"32385055","2020-05-10","Hosp Pediatr"
"32385052","2020-05-10","Sci Immunol"
"32385050","2020-05-10","J Am Acad Psychiatry Law"
"32385047","2020-05-10","BMJ Glob Health"
"32384938","2020-05-10","Crit Care"
"32384921","2020-05-10","Crit Care"
"32384917","2020-05-10","Crit Care"
"32384910","2020-05-10","Crit Care"
"32384909","2020-05-10","Crit Care"
"32384908","2020-05-10","Crit Care"
"32384906","2020-05-10","Crit Care"
"32384820","2020-05-10","Viruses"
"32384798","2020-05-10","Antioxidants (Basel)"
"32384771","2020-05-10","Healthcare (Basel)"
"32384707","2020-05-10","Geriatrics (Basel)"
"32384598","2020-05-10","Int J Environ Res Public Health"
"32384516","2020-05-10","Medicine (Baltimore)"
"32384412","2020-05-10","J Thorac Imaging"
"32384398","2020-05-10","Pediatr Infect Dis J"
"32384397","2020-05-10","Pediatr Infect Dis J"
"32384396","2020-05-10","Pediatr Infect Dis J"
"32384387","2020-05-10","Obstet Gynecol"
"32384386","2020-05-10","Obstet Gynecol"
"32384385","2020-05-10","Obstet Gynecol"
"32384377","2020-05-10","Otol Neurotol"
"32384306","2020-05-10","Comput Inform Nurs"
"32384299","2020-05-10","J Cardiovasc Nurs"
"32384297","2020-05-10","J Bone Joint Surg Am"
"32384284","2020-05-10","ASAIO J"
"32384251","2020-05-10","Telemed J E Health"
"32384228","2020-05-10","J Psychiatr Ment Health Nurs"
"32384227","2020-05-10","Obesity (Silver Spring)"
"32384202","2020-05-10","J Diabetes"
"32384196","2020-05-10","Dermatol Ther"
"32384188","2020-05-10","JPEN J Parenter Enteral Nutr"
"32384183","2020-05-10","Haemophilia"
"32384180","2020-05-10","Clin Exp Dermatol"
"32384171","2020-05-10","Br J Clin Pharmacol"
"32384164","2020-05-10","Vox Sang"
"32384159","2020-05-10","J Travel Med"
"32384153","2020-05-10","Clin Chem"
"32384139","2020-05-10","Ann Intern Med"
"32384135","2020-05-10","Ann Intern Med"
"32384078","2020-05-10","PLoS Negl Trop Dis"
"32384045","2020-05-10","Emerg Infect Dis"
"32384021","2020-05-10","Telemed J E Health"
"32384020","2020-05-10","Radiology"
"32384019","2020-05-10","Radiology"
"32384004","2020-05-10","J Palliat Med"
"32383989","2020-05-10","Diabetes Technol Ther"
"32383969","2020-05-10","AJR Am J Roentgenol"
"32383963","2020-05-10","Arch Pathol Lab Med"
"32383831","2020-05-10","N Engl J Med"
"32383827","2020-05-10","Pediatr Blood Cancer"
"32383819","2020-05-10","Pediatr Blood Cancer"
"32383812","2020-05-10","Ann Neurol"
"32383809","2020-05-10","J Am Geriatr Soc"
"32383802","2020-05-10","Depress Anxiety"
"32383793","2020-05-10","J Ultrasound Med"
"32383781","2020-05-10","J Ultrasound Med"
"32383778","2020-05-10","J Am Geriatr Soc"
"32383776","2020-05-10","J Med Virol"
"32383773","2020-05-10","J Am Geriatr Soc"
"32383763","2020-05-10","Eur Heart J"
"32383762","2020-05-10","Eur Heart J"
"32383758","2020-05-10","Eur Heart J"
"32383754","2020-05-10","JAMA Intern Med"
"32383751","2020-05-10","Nicotine Tob Res"
"32383737","2020-05-10","Eur Heart J Cardiovasc Pharmacother"
"32383728","2020-05-10","JAMA"
"32383638","2020-05-10","Emerg Infect Dis"
"32383637","2020-05-10","Int Psychogeriatr"
"32383626","2020-05-10","Hypertension"
"32383624","2020-05-10","Hypertension"
"32383582","2020-05-10","ACS Chem Biol"
"32383576","2020-05-10","Eur J Phys Rehabil Med"
"32383575","2020-05-10","Eur J Phys Rehabil Med"
"32383550","2020-05-10","Head Neck"
"32383532","2020-05-10","Head Neck"
"32383530","2020-05-10","Int J Eat Disord"
"32383520","2020-05-10","BJU Int"
"32383500","2020-05-10","Br J Surg"
"32383490","2020-05-10","Br J Surg"
"32383432","2020-05-10","Am J Trop Med Hyg"
"32383431","2020-05-10","Am J Trop Med Hyg"
"32383430","2020-05-10","Am J Trop Med Hyg"
"32383418","2020-05-10","Infect Control Hosp Epidemiol"
"32383409","2020-05-10","Eval Health Prof"
"32383371","2020-05-10","J Korean Med Sci"
"32383370","2020-05-10","J Korean Med Sci"
"32383343","2020-05-10","Eur J Neurol"
"32383321","2020-05-10","Breast J"
"32383319","2020-05-10","Int Wound J"
"32383306","2020-05-10","Catheter Cardiovasc Interv"
"32383284","2020-05-10","Catheter Cardiovasc Interv"
"32383276","2020-05-10","Br J Clin Pharmacol"
"32383269","2020-05-10","J Med Virol"
"32383264","2020-05-10","J Med Virol"
"32383254","2020-05-10","J Med Virol"
"32383251","2020-05-10","Dermatol Ther"
"32383239","2020-05-10","Eur J Clin Invest"
"32383237","2020-05-10","Dermatol Ther"
"32383234","2020-05-10","Dermatol Ther"
"32383189","2020-05-10","Int J Dermatol"
"32383183","2020-05-10","J Med Virol"
"32383182","2020-05-10","J Med Virol"
"32383179","2020-05-10","J Med Virol"
"32383174","2020-05-10","J Med Virol"
"32383171","2020-05-10","J Med Virol"
"32383161","2020-05-10","Br J Surg"
"32383153","2020-05-10","Med J Aust"
"32383149","2020-05-10","J Gen Intern Med"
"32383125","2020-05-10","Can J Anaesth"
"32383097","2020-05-10","Eur Arch Otorhinolaryngol"
"32383095","2020-05-10","Eur Arch Otorhinolaryngol"
"32383092","2020-05-10","Eur J Nucl Med Mol Imaging"
"32383060","2020-05-10","Intensive Care Med"
"32383014","2020-05-10","Acta Neurochir (Wien)"
"32383008","2020-05-10","Drug Saf"
"32382932","2020-05-10","Clin Oral Investig"
"32382898","2020-05-10","NTM"
"32382897","2020-05-10","NTM"
"32382877","2020-05-10","Clin Neuroradiol"
"32382873","2020-05-10","Int J Clin Pharm"
"32382824","2020-05-10","AIDS Behav"
"32382823","2020-05-10","AIDS Behav"
