"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Opthomology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Peds","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Statistical modelling/analytical studies","Type Bucket -> Incorrect Coronavirus","Type Bucket -> Not in English","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"111","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Unrevealing sequence and structural features of novel coronavirus using  approaches: The main protease as molecular target.","Direct-acting antivirals are effective tools to control viral infections. SARS-CoV-2 is a coronavirus associated with the epidemiological outbreak in late 2019. Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease. Based on that and using an  approach, we evaluated SARS-CoV-2 main protease as a target for HIV-1 protease inhibitors to reveal the structural features related to their antiviral effect. Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease. Furthermore, broad library protease inhibitors obtained from PubChem and ZINC (www.zinc.docking.org) were evaluated. Our analysis revealed 20 compounds that could be clustered into three groups based on their chemical features. Then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against SARS-CoV-2 and other coronaviruses. Altogether, the results presented in this work contribute to gain a deep understanding of the molecular pharmacology of SARS-CoV-2 treatment and validate the use of protease inhibitors against SARS-CoV-2.  ","2020","EXCLI journal","32210741","Meghanglibbery","1","Yes","Animal or Laboratory Study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lab studies","Reports of interventions/treatments",,,,,,,,,"Yes",
"111","JT Ortega, ML Serrano, FH Pujol, HR Rangel","Unrevealing sequence and structural features of novel coronavirus using  approaches: The main protease as molecular target.","Direct-acting antivirals are effective tools to control viral infections. SARS-CoV-2 is a coronavirus associated with the epidemiological outbreak in late 2019. Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease. Based on that and using an  approach, we evaluated SARS-CoV-2 main protease as a target for HIV-1 protease inhibitors to reveal the structural features related to their antiviral effect. Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease. Furthermore, broad library protease inhibitors obtained from PubChem and ZINC (www.zinc.docking.org) were evaluated. Our analysis revealed 20 compounds that could be clustered into three groups based on their chemical features. Then, these structures could serve as leading compounds to develop a series of derivatives optimizing their activity against SARS-CoV-2 and other coronaviruses. Altogether, the results presented in this work contribute to gain a deep understanding of the molecular pharmacology of SARS-CoV-2 treatment and validate the use of protease inhibitors against SARS-CoV-2.  ","2020","EXCLI journal","32210741","jasper.ho","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,,,"Lab studies",,,,,,,,,,"Yes",
"117","V Gewin","Five tips for moving teaching online as COVID-19 takes hold.",,"Mar 2020","Nature","32210377","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,"Medical Education",,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"117","V Gewin","Five tips for moving teaching online as COVID-19 takes hold.",,"Mar 2020","Nature","32210377","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,"Medical Education",,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"120","M Brindle, A Gawande","Managing COVID-19 in Surgical Systems.",,"Mar 2020","Annals of surgery","32209891","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,,,,,,,,,,,,,,,,,,"Surgery",,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"120","M Brindle, A Gawande","Managing COVID-19 in Surgical Systems.",,"Mar 2020","Annals of surgery","32209891","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surgery",,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"121","Y Deng, W Liu, K Liu, YY Fang, J Shang, L Zhou, K Wang, F Leng, S Wei, L Chen, HG Liu","Clinical characteristics of fatal and recovered cases of coronavirus disease 2019 (COVID-19) in Wuhan, China: a retrospective study.","BACKGROUND: The 2019 novel coronavirus (2019-nCoV) has caused the outbreak of the acute respiratory disease in Wuhan, Hubei Province of China since December 2019. This study is performed to analyze the clinical characteristics of patients who succumbed to and who recovered from 2019 novel coronavirus disease (COVID-19).  METHODS: Clinical data were collected from two tertiary hospitals in Wuhan. A retrospective investigation was conducted to analyze the clinical characteristics of fatal cases of COVID-19 (death group) and compare them with recovered patients (recovered group). Continuous variables were analyzed using the Mann-Whitney U test. Categorical variables were analyzed by χ test or Fisher's exact tests as appropriate.  RESULTS: Our study enrolled 109 COVID-19 patients who died during hospitalization and 116 recovered patients. The median age of the death group was older than the recovered group (69 [62, 74] years vs. 40 [33, 57] years, Z = 9.738, P < 0.001). More patients in the death group had underlying diseases (72.5% vs. 41.5%, χ = 22.105, P < 0.001). Patients in the death group had a significantly longer time of illness onset to hospitalization (10.0 [6.5, 12.0] days vs. 7.0 [5.0, 10.0] days, Z = 3.216, P = 0.001). On admission, the proportion of patients with symptoms of dyspnea (70.6% vs. 24.7%, χ = 60.905, P < 0.001) and expectoration (32.1% vs.15.7%, χ = 13.250, P < 0.001) was significantly higher. The blood oxygen saturation was significantly lower in the death group (85 [77, 91]% vs. 97 [95, 98]%, Z = 10.625, P < 0.001). The white blood cell (WBC) in death group was higher on admission (7.23 [4.87, 11.17] × 10/L vs. 4.52 [3.62, 5.88] × 10/L, Z = 7.618, P < 0.001). Patients in the death group exhibited significantly lower lymphocyte count (0.63 [0.40, 0.79] × 10/L vs. 1.00 [0.72, 1.27] × 10/L, Z = 8.037, P < 0.001) and lymphocyte/WBC ratio (7.10 [4.45, 12.73]% vs. 23.5 [15.27, 31.25]%, Z = 10.315, P < 0.001) on admission, and the lymphocyte/WBC ratio continue to decrease during hospitalization (7.10 [4.45, 12.73]% vs. 2.91 [1.79, 6.13]%, Z = 5.242, P < 0.001). Alanine transaminase (ALT) (22.00 [15.00, 34.00] U/L vs. 18.70 [13.00, 30.38] U/L, Z = 2.592, P = 0.010), aspartate transaminase (AST) (34.00 [27.00, 47.00] U/L vs. 22.00 [17.65, 31.75] U/L, Z = 7.308, P < 0.001), and creatinine levels (89.00 [72.00, 133.50] μmol/L vs.65.00 [54.60, 78.75] μmol/L, Z = 6.478, P < 0.001) were significantly higher in the death group that those in the recovered group. C-reactive protein (CRP) levels were also significantly higher in the death group on admission (109.25 [35.00, 170.28] mg/L vs.3.22 [1.04, 21.80] mg/L, Z = 10.206, P < 0.001) showed no significant improvement after treatment (109.25 [35.0, 170.28] mg/L vs. 81.60 [27.23, 179.08] mg/L, Z = 1.219, P = 0.233). The patients in the death group had more complications such as acute respiratory distress syndrome (89.9% vs. 7.6%, χ = 148.105, P < 0.001), acute cardiac injury (59.6% vs. 0.8%, χ = 93.222, P < 0.001), acute kidney injury (18.3% vs. 0, χ = 23.257, P < 0.001), shock (11.9% vs. 0, χ = 14.618, P < 0.001), and disseminated intravascular coagulation (DIC) (6.4% vs. 0, χ = 7.655, P = 0.006).  CONCLUSIONS: Compared to the recovered group, more patients in the death group exhibited characteristics of advanced age, pre-existing comorbidities, dyspnea, oxygen saturation decrease, increased WBC count, decreased lymphocytes, and elevated CRP levels. More patients in the death groups had complications such as ARDS, acute cardiac injury, acute kidney injury, shock, and DIC.  ","Mar 2020","Chinese medical journal","32209890","Daniellevin","1","Yes","Case Control Studies",,,,,,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,,"Yes",
"121","Y Deng, W Liu, K Liu, YY Fang, J Shang, L Zhou, K Wang, F Leng, S Wei, L Chen, HG Liu","Clinical characteristics of fatal and recovered cases of coronavirus disease 2019 (COVID-19) in Wuhan, China: a retrospective study.","BACKGROUND: The 2019 novel coronavirus (2019-nCoV) has caused the outbreak of the acute respiratory disease in Wuhan, Hubei Province of China since December 2019. This study is performed to analyze the clinical characteristics of patients who succumbed to and who recovered from 2019 novel coronavirus disease (COVID-19).  METHODS: Clinical data were collected from two tertiary hospitals in Wuhan. A retrospective investigation was conducted to analyze the clinical characteristics of fatal cases of COVID-19 (death group) and compare them with recovered patients (recovered group). Continuous variables were analyzed using the Mann-Whitney U test. Categorical variables were analyzed by χ test or Fisher's exact tests as appropriate.  RESULTS: Our study enrolled 109 COVID-19 patients who died during hospitalization and 116 recovered patients. The median age of the death group was older than the recovered group (69 [62, 74] years vs. 40 [33, 57] years, Z = 9.738, P < 0.001). More patients in the death group had underlying diseases (72.5% vs. 41.5%, χ = 22.105, P < 0.001). Patients in the death group had a significantly longer time of illness onset to hospitalization (10.0 [6.5, 12.0] days vs. 7.0 [5.0, 10.0] days, Z = 3.216, P = 0.001). On admission, the proportion of patients with symptoms of dyspnea (70.6% vs. 24.7%, χ = 60.905, P < 0.001) and expectoration (32.1% vs.15.7%, χ = 13.250, P < 0.001) was significantly higher. The blood oxygen saturation was significantly lower in the death group (85 [77, 91]% vs. 97 [95, 98]%, Z = 10.625, P < 0.001). The white blood cell (WBC) in death group was higher on admission (7.23 [4.87, 11.17] × 10/L vs. 4.52 [3.62, 5.88] × 10/L, Z = 7.618, P < 0.001). Patients in the death group exhibited significantly lower lymphocyte count (0.63 [0.40, 0.79] × 10/L vs. 1.00 [0.72, 1.27] × 10/L, Z = 8.037, P < 0.001) and lymphocyte/WBC ratio (7.10 [4.45, 12.73]% vs. 23.5 [15.27, 31.25]%, Z = 10.315, P < 0.001) on admission, and the lymphocyte/WBC ratio continue to decrease during hospitalization (7.10 [4.45, 12.73]% vs. 2.91 [1.79, 6.13]%, Z = 5.242, P < 0.001). Alanine transaminase (ALT) (22.00 [15.00, 34.00] U/L vs. 18.70 [13.00, 30.38] U/L, Z = 2.592, P = 0.010), aspartate transaminase (AST) (34.00 [27.00, 47.00] U/L vs. 22.00 [17.65, 31.75] U/L, Z = 7.308, P < 0.001), and creatinine levels (89.00 [72.00, 133.50] μmol/L vs.65.00 [54.60, 78.75] μmol/L, Z = 6.478, P < 0.001) were significantly higher in the death group that those in the recovered group. C-reactive protein (CRP) levels were also significantly higher in the death group on admission (109.25 [35.00, 170.28] mg/L vs.3.22 [1.04, 21.80] mg/L, Z = 10.206, P < 0.001) showed no significant improvement after treatment (109.25 [35.0, 170.28] mg/L vs. 81.60 [27.23, 179.08] mg/L, Z = 1.219, P = 0.233). The patients in the death group had more complications such as acute respiratory distress syndrome (89.9% vs. 7.6%, χ = 148.105, P < 0.001), acute cardiac injury (59.6% vs. 0.8%, χ = 93.222, P < 0.001), acute kidney injury (18.3% vs. 0, χ = 23.257, P < 0.001), shock (11.9% vs. 0, χ = 14.618, P < 0.001), and disseminated intravascular coagulation (DIC) (6.4% vs. 0, χ = 7.655, P = 0.006).  CONCLUSIONS: Compared to the recovered group, more patients in the death group exhibited characteristics of advanced age, pre-existing comorbidities, dyspnea, oxygen saturation decrease, increased WBC count, decreased lymphocytes, and elevated CRP levels. More patients in the death groups had complications such as ARDS, acute cardiac injury, acute kidney injury, shock, and DIC.  ","Mar 2020","Chinese medical journal","32209890","jasper.ho","1","Yes","Case Control Studies",,,,,,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,,,,,,"Yes",
"122",,"Diagnosis and Treatment Plan for COVID-19 (Trial Version 6).",,"Mar 2020","Chinese medical journal","32209888","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,,"Yes",
"122",,"Diagnosis and Treatment Plan for COVID-19 (Trial Version 6).",,"Mar 2020","Chinese medical journal","32209888","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,,"Yes",
"123","JH Chow, MA Mazzeffi, MT McCurdy","Angiotensin II for the Treatment of COVID-19-Related Vasodilatory Shock.",,"Mar 2020","Anesthesia and analgesia","32209811","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,,,"Respirology",,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,,"Yes",
"123","JH Chow, MA Mazzeffi, MT McCurdy","Angiotensin II for the Treatment of COVID-19-Related Vasodilatory Shock.",,"Mar 2020","Anesthesia and analgesia","32209811","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"124","BA Orser","Recommendations for Endotracheal Intubation of COVID-19 Patients.",,"Mar 2020","Anesthesia and analgesia","32209810","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"124","BA Orser","Recommendations for Endotracheal Intubation of COVID-19 Patients.",,"Mar 2020","Anesthesia and analgesia","32209810","jasper.ho","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"125","RQ Cron, WW Chatham","The Rheumatologist's Role in Covid-19.","The novel coronavirus (SARS-CoV-2) pandemic has spread rapidly throughout the planet. It is believed to have originated in the Wuhan province of China, but this highly contagious respiratory virus has spread to over 140 countries on 6 continents as of mid-March 2020 according to the World Health Organization (WHO). Worldwide, there have been over 164,000 cases identified and over 6,500 deaths attributed to the viral infection. As of March 15, 2020, there are over 3,700 confirmed cases and 68 deaths ascribed to Covid-19 (the disease caused by SARS-CoV-2) in the United States [https://www.livescience.com/coronavirus-updates-unitedstates.html].  ","Mar 2020","The Journal of rheumatology","32209661","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Opinion",,,,,,,"Yes",
"125","RQ Cron, WW Chatham","The Rheumatologist's Role in Covid-19.","The novel coronavirus (SARS-CoV-2) pandemic has spread rapidly throughout the planet. It is believed to have originated in the Wuhan province of China, but this highly contagious respiratory virus has spread to over 140 countries on 6 continents as of mid-March 2020 according to the World Health Organization (WHO). Worldwide, there have been over 164,000 cases identified and over 6,500 deaths attributed to the viral infection. As of March 15, 2020, there are over 3,700 confirmed cases and 68 deaths ascribed to Covid-19 (the disease caused by SARS-CoV-2) in the United States [https://www.livescience.com/coronavirus-updates-unitedstates.html].  ","Mar 2020","The Journal of rheumatology","32209661","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.",,"Mar 2020","BMJ (Clinical research ed.)","32209544","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.",,"Mar 2020","BMJ (Clinical research ed.)","32209544","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,"Case report",,,,,,,,,,,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","jasper.ho","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,"Peds",,,,,,,,,,,,,,"Case report",,,"Imaging studies",,,,,,,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.",,"Mar 2020","The Journal of infection","32209385","Daniellevin","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,"Case report",,,,,,,,,,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.",,"Mar 2020","The Journal of infection","32209385","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies","Case report",,,,,,,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.",,"Mar 2020","The Journal of infection","32209382","Daniellevin","1","Yes","Case Series/Report",,"Cardiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.",,"Mar 2020","The Journal of infection","32209382","jasper.ho","1","Yes","Case Series/Report",,"Cardiology",,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.",,"Mar 2020","The Journal of infection","32209381","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.",,"Mar 2020","The Journal of infection","32209381","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,,"Natural history studies","Case report",,,,,,,,,,,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.",,"Mar 2020","Oral oncology","32209313","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,"Oncology",,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.",,"Mar 2020","Oral oncology","32209313","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Data concerning the transmission of the novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) in paucisymptomatic patients are lacking. We report an Italian paucisymptomatic case of coronavirus disease 2019 with multiple biological samples positive for SARS-CoV-2. This case was detected using the World Health Organization protocol on cases and contact investigation. Current discharge criteria and the impact of extra-pulmonary SARS-CoV-2 samples are discussed.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Data concerning the transmission of the novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) in paucisymptomatic patients are lacking. We report an Italian paucisymptomatic case of coronavirus disease 2019 with multiple biological samples positive for SARS-CoV-2. This case was detected using the World Health Organization protocol on cases and contact investigation. Current discharge criteria and the impact of extra-pulmonary SARS-CoV-2 samples are discussed.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","jasper.ho","1","Yes","Case Series/Report",,,,,,,,"General",,,"Internal Medicine",,,,,,,,,,,,"Public Health",,,,,,,,,,,,,"Case report",,"Reports of interventions/treatments",,,,,,,,,"Yes",
"149","A Haveri, T Smura, S Kuivanen, P Österlund, J Hepojoki, N Ikonen, M Pitkäpaasi, S Blomqvist, E Rönkkö, A Kantele, T Strandin, H Kallio-Kokko, L Mannonen, M Lappalainen, M Broas, M Jiang, L Siira, M Salminen, T Puumalainen, J Sane, M Melin, O Vapalahti, C Savolainen-Kopra","Serological and molecular findings during SARS-CoV-2 infection: the first case study in Finland, January to February 2020.","The first case of coronavirus disease (COVID-19) in Finland was confirmed on 29 January 2020. No secondary cases were detected. We describe the clinical picture and laboratory findings 3-23 days since the first symptoms. The SARS-CoV-2/Finland/1/2020 virus strain was isolated, the genome showing a single nucleotide substitution to the reference strain from Wuhan. Neutralising antibody response appeared within 9 days along with specific IgM and IgG response, targeting particularly nucleocapsid and spike proteins.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209163","Daniellevin","1","Yes","Case Series/Report",,,,,,,,"General",,"Immunology",,,,,,,,,,,,,,,"Respirology",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,"Case report",,,,,,,,,,,"Yes",
"149","A Haveri, T Smura, S Kuivanen, P Österlund, J Hepojoki, N Ikonen, M Pitkäpaasi, S Blomqvist, E Rönkkö, A Kantele, T Strandin, H Kallio-Kokko, L Mannonen, M Lappalainen, M Broas, M Jiang, L Siira, M Salminen, T Puumalainen, J Sane, M Melin, O Vapalahti, C Savolainen-Kopra","Serological and molecular findings during SARS-CoV-2 infection: the first case study in Finland, January to February 2020.","The first case of coronavirus disease (COVID-19) in Finland was confirmed on 29 January 2020. No secondary cases were detected. We describe the clinical picture and laboratory findings 3-23 days since the first symptoms. The SARS-CoV-2/Finland/1/2020 virus strain was isolated, the genome showing a single nucleotide substitution to the reference strain from Wuhan. Neutralising antibody response appeared within 9 days along with specific IgM and IgG response, targeting particularly nucleocapsid and spike proteins.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209163","jasper.ho","1","Yes","Case Series/Report",,,,,,,,"General",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,,"Yes",
