"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> ENT","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type of Publication -> Evidence-based guidance documents and guidelines","Type of Publication -> Systematic review/meta analysis","Type of Publication -> Observational  studies","Type of Publication -> Experimental studies","Type of Publication -> Natural history studies","Type of Publication -> Case report","Type of Publication -> Lab studies","Type of Publication -> Reports of interventions/treatments","Type of Publication -> Imaging studies","Type of Publication -> Letter to the Editor/Narrative Review","Type of Publication -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"123","JH Chow, MA Mazzeffi, MT McCurdy","Angiotensin II for the Treatment of COVID-19-Related Vasodilatory Shock.",,"Mar 2020","Anesthesia and analgesia","32209811","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,"ICU",,,"Internal Medicine",,,,,,,,,,,,,"Respirology",,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"123","JH Chow, MA Mazzeffi, MT McCurdy","Angiotensin II for the Treatment of COVID-19-Related Vasodilatory Shock.",,"Mar 2020","Anesthesia and analgesia","32209811","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"124","BA Orser","Recommendations for Endotracheal Intubation of COVID-19 Patients.",,"Mar 2020","Anesthesia and analgesia","32209810","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"124","BA Orser","Recommendations for Endotracheal Intubation of COVID-19 Patients.",,"Mar 2020","Anesthesia and analgesia","32209810","jasper.ho","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"125","RQ Cron, WW Chatham","The Rheumatologist's Role in Covid-19.","The novel coronavirus (SARS-CoV-2) pandemic has spread rapidly throughout the planet. It is believed to have originated in the Wuhan province of China, but this highly contagious respiratory virus has spread to over 140 countries on 6 continents as of mid-March 2020 according to the World Health Organization (WHO). Worldwide, there have been over 164,000 cases identified and over 6,500 deaths attributed to the viral infection. As of March 15, 2020, there are over 3,700 confirmed cases and 68 deaths ascribed to Covid-19 (the disease caused by SARS-CoV-2) in the United States [https://www.livescience.com/coronavirus-updates-unitedstates.html].  ","Mar 2020","The Journal of rheumatology","32209661","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Narrative Review",,"Yes",
"125","RQ Cron, WW Chatham","The Rheumatologist's Role in Covid-19.","The novel coronavirus (SARS-CoV-2) pandemic has spread rapidly throughout the planet. It is believed to have originated in the Wuhan province of China, but this highly contagious respiratory virus has spread to over 140 countries on 6 continents as of mid-March 2020 according to the World Health Organization (WHO). Worldwide, there have been over 164,000 cases identified and over 6,500 deaths attributed to the viral infection. As of March 15, 2020, there are over 3,700 confirmed cases and 68 deaths ascribed to Covid-19 (the disease caused by SARS-CoV-2) in the United States [https://www.livescience.com/coronavirus-updates-unitedstates.html].  ","Mar 2020","The Journal of rheumatology","32209661","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.",,"Mar 2020","BMJ (Clinical research ed.)","32209544","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,"General",,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"134","E Mahase","Covid-19: most patients require mechanical ventilation in first 24 hours of critical care.",,"Mar 2020","BMJ (Clinical research ed.)","32209544","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"137","P An, Y Ye, M Chen, Y Chen, W Fan, Y Wang","Management strategy of novel coronavirus (COVID-19) pneumonia in the radiology department: a Chinese experience.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209526","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,"Case report",,,,,,"Yes",
"138","P An, M Zhang","Novel coronavirus SARS-CoV-2: familial spread resulting in COVID-19 pneumonia in a pediatric patient.",,"Mar 2020","Diagnostic and interventional radiology (Ankara, Turkey)","32209502","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,"General",,,,,,,,,,,,,,,"Pediatrics",,,,,,,,,,,,,"Case report",,,"Imaging studies",,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.",,"Mar 2020","The Journal of infection","32209385","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,"Observational  studies",,,"Case report",,,,,,"Yes",
"139","DAT Xiao, DC Gao, DS Zhang","Profile of Specific Antibodies to SARS-CoV-2: The First Report.",,"Mar 2020","The Journal of infection","32209385","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,"Natural history studies","Case report",,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.",,"Mar 2020","The Journal of infection","32209382","Daniellevin","1","Yes","Case Series/Report",,"Cardiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"142","B Zhou, J She, Y Wang, X Ma","The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease.",,"Mar 2020","The Journal of infection","32209382","jasper.ho","1","Yes","Case Series/Report",,"Cardiology",,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.",,"Mar 2020","The Journal of infection","32209381","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"143","Z Fang, Y Zhang, C Hang, W Zhang, J Ai, S Li","Comparisons of nucleic acid conversion time of SARS-CoV-2 of different samples in ICU and non-ICU patients.",,"Mar 2020","The Journal of infection","32209381","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,"Microbiology",,,,,,,,,,,,,,,,,,,,"Natural history studies","Case report",,,,,,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.",,"Mar 2020","Oral oncology","32209313","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"ICU",,,,,,,,,"Oncology",,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"144","F Bennardo, C Buffone, A Giudice","New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws.",,"Mar 2020","Oral oncology","32209313","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,"Rheumatology",,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Data concerning the transmission of the novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) in paucisymptomatic patients are lacking. We report an Italian paucisymptomatic case of coronavirus disease 2019 with multiple biological samples positive for SARS-CoV-2. This case was detected using the World Health Organization protocol on cases and contact investigation. Current discharge criteria and the impact of extra-pulmonary SARS-CoV-2 samples are discussed.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"148","E Nicastri, A D'Abramo, G Faggioni, R De Santis, A Mariano, L Lepore, F Molinari, G Petralito, S Fillo, D Munzi, A Corpolongo, L Bordi, F Carletti, C Castiletti, F Colavita, E Lalle, N Bevilacqua, ML Giancola, L Scorzolini, S Lanini, C Palazzolo, A De Domenico, MA Spinelli, P Scognamiglio, P Piredda, R Iacomino, A Mone, V Puro, N Petrosillo, A Battistini, F Vairo, F Lista, G Ippolito,  On Behalf Of Inmi And The Italian Army Covid-Study Groups","Coronavirus disease (COVID-19) in a paucisymptomatic patient: epidemiological and clinical challenge in settings with limited community transmission, Italy, February 2020.","Data concerning the transmission of the novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) in paucisymptomatic patients are lacking. We report an Italian paucisymptomatic case of coronavirus disease 2019 with multiple biological samples positive for SARS-CoV-2. This case was detected using the World Health Organization protocol on cases and contact investigation. Current discharge criteria and the impact of extra-pulmonary SARS-CoV-2 samples are discussed.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209164","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,"Public Health",,,,,,,,,,,,"Case report",,"Reports of interventions/treatments",,,,"Yes",
"149","A Haveri, T Smura, S Kuivanen, P Österlund, J Hepojoki, N Ikonen, M Pitkäpaasi, S Blomqvist, E Rönkkö, A Kantele, T Strandin, H Kallio-Kokko, L Mannonen, M Lappalainen, M Broas, M Jiang, L Siira, M Salminen, T Puumalainen, J Sane, M Melin, O Vapalahti, C Savolainen-Kopra","Serological and molecular findings during SARS-CoV-2 infection: the first case study in Finland, January to February 2020.","The first case of coronavirus disease (COVID-19) in Finland was confirmed on 29 January 2020. No secondary cases were detected. We describe the clinical picture and laboratory findings 3-23 days since the first symptoms. The SARS-CoV-2/Finland/1/2020 virus strain was isolated, the genome showing a single nucleotide substitution to the reference strain from Wuhan. Neutralising antibody response appeared within 9 days along with specific IgM and IgG response, targeting particularly nucleocapsid and spike proteins.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209163","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,"General",,,,"Immunology",,,,,,,,,,,,,,"Respirology",,,,,,,"Observational  studies",,,"Case report",,,,,,"Yes",
"149","A Haveri, T Smura, S Kuivanen, P Österlund, J Hepojoki, N Ikonen, M Pitkäpaasi, S Blomqvist, E Rönkkö, A Kantele, T Strandin, H Kallio-Kokko, L Mannonen, M Lappalainen, M Broas, M Jiang, L Siira, M Salminen, T Puumalainen, J Sane, M Melin, O Vapalahti, C Savolainen-Kopra","Serological and molecular findings during SARS-CoV-2 infection: the first case study in Finland, January to February 2020.","The first case of coronavirus disease (COVID-19) in Finland was confirmed on 29 January 2020. No secondary cases were detected. We describe the clinical picture and laboratory findings 3-23 days since the first symptoms. The SARS-CoV-2/Finland/1/2020 virus strain was isolated, the genome showing a single nucleotide substitution to the reference strain from Wuhan. Neutralising antibody response appeared within 9 days along with specific IgM and IgG response, targeting particularly nucleocapsid and spike proteins.  ","Mar 2020","Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin","32209163","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,"Yes",
"151","AHJ Danser, M Epstein, D Batlle","Renin-Angiotensin System Blockers and the COVID-19 Pandemic: At Present There Is No Evidence to Abandon Renin-Angiotensin System Blockers.","During the spread of the severe acute respiratory syndrome coronavirus-2, some reports of data still emerging and in need of full analysis indicate that certain groups of patients are at risk of COVID-19. This includes patients with hypertension, heart disease, diabetes mellitus, and clearly the elderly. Many of those patients are treated with reninangiotensin system blockers. Because the ACE2 (angiotensin-converting enzyme 2) protein is the receptor that facilitates coronavirus entry into cells, the notion has been popularized that treatment with renin-angiotensin system blockers might increase the risk of developing a severe and fatal severe acute respiratory syndrome coronavirus-2 infection. The present article discusses this concept. ACE2 in its full-length form is a membrane-bound enzyme, whereas its shorter (soluble) form circulates in blood at very low levels. As a mono-carboxypeptidase, ACE2 contributes to the degradation of several substrates including angiotensins I and II. ACE (angiotensin-converting enzyme) inhibitors do not inhibit ACE2 because ACE and ACE2 are different enzymes. Although angiotensin II type 1 receptor blockers have been shown to upregulate ACE2 in experimental animals, the evidence is not always consistent and differs among the diverse angiotensin II type 1 receptor blockers and differing organs. Moreover, there are no data to support the notion that ACE inhibitor or angiotensin II type 1 receptor blocker administration facilitates coronavirus entry by increasing ACE2 expression in either animals or humans. Indeed, animal data support elevated ACE2 expression as conferring potential protective pulmonary and cardiovascular effects. In summary, based on the currently available evidence, treatment with renin-angiotensin system blockers should not be discontinued because of concerns with coronavirus infection.  ","Mar 2020","Hypertension (Dallas, Tex. : 1979)","32208987","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"151","AHJ Danser, M Epstein, D Batlle","Renin-Angiotensin System Blockers and the COVID-19 Pandemic: At Present There Is No Evidence to Abandon Renin-Angiotensin System Blockers.","During the spread of the severe acute respiratory syndrome coronavirus-2, some reports of data still emerging and in need of full analysis indicate that certain groups of patients are at risk of COVID-19. This includes patients with hypertension, heart disease, diabetes mellitus, and clearly the elderly. Many of those patients are treated with reninangiotensin system blockers. Because the ACE2 (angiotensin-converting enzyme 2) protein is the receptor that facilitates coronavirus entry into cells, the notion has been popularized that treatment with renin-angiotensin system blockers might increase the risk of developing a severe and fatal severe acute respiratory syndrome coronavirus-2 infection. The present article discusses this concept. ACE2 in its full-length form is a membrane-bound enzyme, whereas its shorter (soluble) form circulates in blood at very low levels. As a mono-carboxypeptidase, ACE2 contributes to the degradation of several substrates including angiotensins I and II. ACE (angiotensin-converting enzyme) inhibitors do not inhibit ACE2 because ACE and ACE2 are different enzymes. Although angiotensin II type 1 receptor blockers have been shown to upregulate ACE2 in experimental animals, the evidence is not always consistent and differs among the diverse angiotensin II type 1 receptor blockers and differing organs. Moreover, there are no data to support the notion that ACE inhibitor or angiotensin II type 1 receptor blocker administration facilitates coronavirus entry by increasing ACE2 expression in either animals or humans. Indeed, animal data support elevated ACE2 expression as conferring potential protective pulmonary and cardiovascular effects. In summary, based on the currently available evidence, treatment with renin-angiotensin system blockers should not be discontinued because of concerns with coronavirus infection.  ","Mar 2020","Hypertension (Dallas, Tex. : 1979)","32208987","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,,,,"General",,,,,"Internal Medicine",,,"Nephrology",,,,,,,,,,,,,,,,,,,,,"Lab studies",,,"Letter to the Editor/Narrative Review",,"Yes",
"153","L Su, X Ma, H Yu, Z Zhang, P Bian, Y Han, J Sun, Y Liu, C Yang, J Geng, Z Zhang, Z Gai","The different clinical characteristics of corona virus disease cases between children and their families in China - the character of children with COVID-19.","This study aims to analyze the different clinical characteristics between children and their families infected with severe acute respiratory syndrome coronavirus 2. Clinical data from nine children and their 14 families were collected, including general status, clinical, laboratory test, and imaging characteristics. All the children were detected positive result after their families onset. Three children had fever (22.2%) or cough (11.2%) symptoms and six (66.7%) children had no symptom. Among the 14 adult patients, the major symptoms included fever (57.1%), cough (35.7%), chest tightness/pain (21.4%), fatigue (21.4%) and sore throat (7.1%). Nearly 70% of the patients had normal (71.4%) or decreased (28.6%) white blood cell counts, and 50% (7/14) had lymphocytopenia. There were 10 adults (71.4%) showed abnormal imaging. The main manifestations were pulmonary consolidation (70%), nodular shadow (50%), and ground glass opacity (50%). Five discharged children were admitted again because their stool showed positive result in SARS-CoV-2 PCR. COVID-19 in children is mainly caused by family transmission, and their symptoms are mild and prognosis is better than adult. However, their PCR result in stool showed longer time than their families. Because of the mild or asymptomatic clinical process, it is difficult to recognize early for pediatrician and public health staff.  ","Dec 2020","Emerging microbes & infections","32208917","Daniellevin","1","Yes","Case Series/Report",,,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,"Pediatrics",,,"Respirology",,,,,,,,,,"Case report",,,,,,"Yes",
"153","L Su, X Ma, H Yu, Z Zhang, P Bian, Y Han, J Sun, Y Liu, C Yang, J Geng, Z Zhang, Z Gai","The different clinical characteristics of corona virus disease cases between children and their families in China - the character of children with COVID-19.","This study aims to analyze the different clinical characteristics between children and their families infected with severe acute respiratory syndrome coronavirus 2. Clinical data from nine children and their 14 families were collected, including general status, clinical, laboratory test, and imaging characteristics. All the children were detected positive result after their families onset. Three children had fever (22.2%) or cough (11.2%) symptoms and six (66.7%) children had no symptom. Among the 14 adult patients, the major symptoms included fever (57.1%), cough (35.7%), chest tightness/pain (21.4%), fatigue (21.4%) and sore throat (7.1%). Nearly 70% of the patients had normal (71.4%) or decreased (28.6%) white blood cell counts, and 50% (7/14) had lymphocytopenia. There were 10 adults (71.4%) showed abnormal imaging. The main manifestations were pulmonary consolidation (70%), nodular shadow (50%), and ground glass opacity (50%). Five discharged children were admitted again because their stool showed positive result in SARS-CoV-2 PCR. COVID-19 in children is mainly caused by family transmission, and their symptoms are mild and prognosis is better than adult. However, their PCR result in stool showed longer time than their families. Because of the mild or asymptomatic clinical process, it is difficult to recognize early for pediatrician and public health staff.  ","Dec 2020","Emerging microbes & infections","32208917","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,"Pediatrics",,,,,"Radiology",,,,,,,"Natural history studies","Case report",,"Reports of interventions/treatments","Imaging studies",,,"Yes",
"155","R Kunz, M Minder","COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes.",,"03 2020","Swiss medical weekly","32208497","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,"Palliative Care",,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"155","R Kunz, M Minder","COVID-19 pandemic: palliative care for elderly and frail patients at home and in residential and nursing homes.",,"03 2020","Swiss medical weekly","32208497","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,"Family Medicine",,,"General",,,,,,,,,,,,,"Palliative Care",,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,"Reports of interventions/treatments",,,,"Yes",
"156","Swiss Academy Of Medical Sciences","COVID-19 pandemic: triage for intensive-care treatment under resource scarcity.",,"03 2020","Swiss medical weekly","32208495","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"156","Swiss Academy Of Medical Sciences","COVID-19 pandemic: triage for intensive-care treatment under resource scarcity.",,"03 2020","Swiss medical weekly","32208495","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"158","Swiss Society Of Intensive Care Medicine","Recommendations for the admission of patients with COVID-19 to intensive care and intermediate care units (ICUs and IMCUs).",,"03 2020","Swiss medical weekly","32208493","Daniellevin","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"158","Swiss Society Of Intensive Care Medicine","Recommendations for the admission of patients with COVID-19 to intensive care and intermediate care units (ICUs and IMCUs).",,"03 2020","Swiss medical weekly","32208493","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,,,,"ICU",,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,"Natural history studies",,,,,"Letter to the Editor/Narrative Review",,"Yes",
"160","AB Patel, A Verma","COVID-19 and Angiotensin-Converting Enzyme Inhibitors and Angiotensin Receptor Blockers: What Is the Evidence?",,"Mar 2020","JAMA","32208485","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Narrative Review",,"Yes",
"160","AB Patel, A Verma","COVID-19 and Angiotensin-Converting Enzyme Inhibitors and Angiotensin Receptor Blockers: What Is the Evidence?",,"Mar 2020","JAMA","32208485","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,"Family Medicine",,,,,,,,"Internal Medicine",,,"Nephrology",,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"162","Z Huang, S Zhao, Z Li, W Chen, L Zhao, L Deng, B Song","The Battle Against Coronavirus Disease 2019 (COVID-19): Emergency Management and Infection Control in a Radiology Department.","OBJECTIVE: To describe the strategy and the emergency management and infection control procedures of our radiology department during the COVID-19 outbreak.  METHODS: We set up emergency management and sensing control teams. The team formulated various measures, such as reconfiguration of the radiology department, personal protection and staff training, standardized imaging examination procedures for fever patients and common patients, and so on.  RESULTS: From January 21 to March 9, 3,083 people underwent fever-CT examinations. Including the initial examination and reexamination, the total number of fever CT examination is 3,340. As a result of our precautions, none of the staff of the radiology department was infected with COVID-19.  CONCLUSION: Strategic planning and adequate protections can help protect patients and staff against a highly infectious disease while allow normal functioning at a high-volume capacity.  ","Mar 2020","Journal of the American College of Radiology : JACR","32208140","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"162","Z Huang, S Zhao, Z Li, W Chen, L Zhao, L Deng, B Song","The Battle Against Coronavirus Disease 2019 (COVID-19): Emergency Management and Infection Control in a Radiology Department.","OBJECTIVE: To describe the strategy and the emergency management and infection control procedures of our radiology department during the COVID-19 outbreak.  METHODS: We set up emergency management and sensing control teams. The team formulated various measures, such as reconfiguration of the radiology department, personal protection and staff training, standardized imaging examination procedures for fever patients and common patients, and so on.  RESULTS: From January 21 to March 9, 3,083 people underwent fever-CT examinations. Including the initial examination and reexamination, the total number of fever CT examination is 3,340. As a result of our precautions, none of the staff of the radiology department was infected with COVID-19.  CONCLUSION: Strategic planning and adequate protections can help protect patients and staff against a highly infectious disease while allow normal functioning at a high-volume capacity.  ","Mar 2020","Journal of the American College of Radiology : JACR","32208140","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"163","D Fessell, C Cherniss","COVID-19 & Beyond: Micro-practices for Burnout Prevention and Emotional Wellness.",,"Mar 2020","Journal of the American College of Radiology : JACR","32208139","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,"Letter to the Editor/Narrative Review",,"Yes",
"163","D Fessell, C Cherniss","COVID-19 & Beyond: Micro-practices for Burnout Prevention and Emotional Wellness.",,"Mar 2020","Journal of the American College of Radiology : JACR","32208139","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,"General",,,,,,"Medical Education",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Narrative Review",,"Yes",
"164","AH Davarpanah, A Mahdavi, A Sabri, TF Langroudi, S Kahkouee, S Haseli, MA Kazemi, P Mehrian, A Mahdavi, F Falahati, AM Tuchayi, M Bakhshayeshkaram, MS Taheri","Novel Screening and Triage Strategy in Iran During Deadly COVID-19 Epidemic; Value of Humanitarian Teleconsultation Service.",,"Mar 2020","Journal of the American College of Radiology : JACR","32208138","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,,,,"Imaging studies",,,"Yes",
"164","AH Davarpanah, A Mahdavi, A Sabri, TF Langroudi, S Kahkouee, S Haseli, MA Kazemi, P Mehrian, A Mahdavi, F Falahati, AM Tuchayi, M Bakhshayeshkaram, MS Taheri","Novel Screening and Triage Strategy in Iran During Deadly COVID-19 Epidemic; Value of Humanitarian Teleconsultation Service.",,"Mar 2020","Journal of the American College of Radiology : JACR","32208138","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,"Public Health",,,,"Radiology",,,,,,,,,,,"Imaging studies",,,"Yes",
"165","W Guan, J Liu, C Yu","CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia.",,"Mar 2020","AJR. American journal of roentgenology","32208010","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,,,,"Case report",,,,,,"Yes",
