Refid,Author,Title,Date,Journal,PMID,User,Level,Were you able to find the article? ,Type of Study,Sample Size,Sample Size is >5 (Case Reports ONLY) ,Speciality Bucket -> Anesthesia,Speciality Bucket -> Cardiology,Speciality Bucket -> Emergency Medicine,Speciality Bucket -> Family Medicine,Speciality Bucket -> Gastroenterology,Speciality Bucket -> General,Speciality Bucket -> Immunology,Speciality Bucket -> Internal Medicine,Speciality Bucket -> ICU,Speciality Bucket -> Medical Education,Speciality Bucket -> OBGYN,Speciality Bucket -> Oncology,Speciality Bucket -> Peds,Speciality Bucket -> Psych,Speciality Bucket -> Respirology,Speciality Bucket -> Rheumatology,Speciality Bucket -> Radiology,Speciality Bucket -> Other,Speciality Bucket -> Other (COMMENT),Type Bucket -> Evidence-based guidance documents and guidelines,Type Bucket -> High quality descriptive studies,Type Bucket -> Natural history studies,Type Bucket -> Case report,Type Bucket -> Reports of interventions/treatments,Type Bucket -> Imaging studies,Type Bucket -> Letter to the Editor/Opinion,Type Bucket -> Not in English,Type Bucket -> Other,Type Bucket -> Other (COMMENT),Should this reference be included in the next stage? 
165,"W Guan, J Liu, C Yu",CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia.,20-Mar,AJR. American journal of roentgenology,32208010,Daniellevin,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,,,,,Radiology,,,,,,Case report,,,,,,,Yes
165,"W Guan, J Liu, C Yu",CT Findings of Coronavirus Disease (COVID-19) Severe Pneumonia.,20-Mar,AJR. American journal of roentgenology,32208010,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,,,,,Radiology,,,,,Natural history studies,,,Imaging studies,,,,,Yes
168,"AL Giwa, A Desai, A Duca",Novel 2019 coronavirus SARS-CoV-2 (COVID-19): An updated overview for emergency clinicians,05 2020,Emergency medicine practice,32207910,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,Emergency Medicine,,,,,Internal Medicine,,,,,,,,,,,,,,,,Reports of interventions/treatments,,Letter to the Editor/Opinion,,,,Yes
168,"AL Giwa, A Desai, A Duca",Novel 2019 coronavirus SARS-CoV-2 (COVID-19): An updated overview for emergency clinicians,05 2020,Emergency medicine practice,32207910,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
169,"F Ferro, E Elefante, C Baldini, E Bartoloni, I Puxeddu, R Talarico, M Mosca, S Bombardieri",COVID-19: the new challenge for rheumatologists.,,Clinical and experimental rheumatology,32207680,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,Internal Medicine,,,,,,,,Rheumatology,,,,,,,,Reports of interventions/treatments,,Letter to the Editor/Opinion,,,,Yes
169,"F Ferro, E Elefante, C Baldini, E Bartoloni, I Puxeddu, R Talarico, M Mosca, S Bombardieri",COVID-19: the new challenge for rheumatologists.,,Clinical and experimental rheumatology,32207680,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,Rheumatology,,,,Evidence-based guidance documents and guidelines,,,,,,Letter to the Editor/Opinion,,,,Yes
175,"GE Nicol, JF Piccirillo, BH Mulsant, EJ Lenze",Action at a Distance: Geriatric Research during a Pandemic.,20-Mar,Journal of the American Geriatrics Society,32207542,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,General,,,,,,,,,,,,Other,Geriatrics,,,,,,,Letter to the Editor/Opinion,,,,Yes
175,"GE Nicol, JF Piccirillo, BH Mulsant, EJ Lenze",Action at a Distance: Geriatric Research during a Pandemic.,20-Mar,Journal of the American Geriatrics Society,32207542,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Geriatrics,,,,,,,Letter to the Editor/Opinion,,,,Yes
179,"Z Chen, Y Li, B Wu, Y Hou, J Bao, X Deng",A Patient with COVID-19 Presenting a False-Negative Reverse Transcriptase Polymerase Chain Reaction Result.,20-Mar,Korean journal of radiology,32207257,Meghanglibbery,1,Yes,Case Series/Report,1,No,,,,,,General,,Internal Medicine,,,,,,,,,,,,,,,Case report,,,,,,,Yes
179,"Z Chen, Y Li, B Wu, Y Hou, J Bao, X Deng",A Patient with COVID-19 Presenting a False-Negative Reverse Transcriptase Polymerase Chain Reaction Result.,20-Mar,Korean journal of radiology,32207257,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,,,,,,Other,Pathology,,,,Case report,,Imaging studies,,,,,Yes
181,"R Sun, H Liu, X Wang","Mediastinal Emphysema, Giant Bulla, and Pneumothorax Developed during the Course of COVID-19 Pneumonia.",20-Mar,Korean journal of radiology,32207255,Meghanglibbery,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,,,,,Radiology,,,,,,Case report,,,,,,,Yes
181,"R Sun, H Liu, X Wang","Mediastinal Emphysema, Giant Bulla, and Pneumothorax Developed during the Course of COVID-19 Pneumonia.",20-Mar,Korean journal of radiology,32207255,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
182,"F Moro, D Buonsenso, MC Moruzzi, R Inchingolo, A Smargiassi, L Demi, AR Larici, G Scambia, A Lanzone, AC Testa",How to perform lung ultrasound in pregnant women with suspected COVID-19 infection.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32207208,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,OBGYN,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
182,"F Moro, D Buonsenso, MC Moruzzi, R Inchingolo, A Smargiassi, L Demi, AR Larici, G Scambia, A Lanzone, AC Testa",How to perform lung ultrasound in pregnant women with suspected COVID-19 infection.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32207208,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,OBGYN,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
183,C Lees,ISUOG Safety Committee Position Statement: safe performance of obstetric and gynecological scans and equipment cleaning in the context of COVID-19.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32207189,Meghanglibbery,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
183,C Lees,ISUOG Safety Committee Position Statement: safe performance of obstetric and gynecological scans and equipment cleaning in the context of COVID-19.,20-Mar,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,32207189,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,OBGYN,,,,,,,,,Evidence-based guidance documents and guidelines,,,,Reports of interventions/treatments,,,,,,Yes
184,"G Rombolà, M Hedemperger, L Pedrini, M Farina, F Aucella, P Messa, G Brunori",Practical indications for the prevention and management of SARS-CoV-2 in ambulatory dialysis patients: lessons from the first phase of the epidemics in Lombardy.,20-Mar,Journal of nephrology,32207068,Meghanglibbery,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
184,"G Rombolà, M Hedemperger, L Pedrini, M Farina, F Aucella, P Messa, G Brunori",Practical indications for the prevention and management of SARS-CoV-2 in ambulatory dialysis patients: lessons from the first phase of the epidemics in Lombardy.,20-Mar,Journal of nephrology,32207068,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Nephrology,Evidence-based guidance documents and guidelines,,,,,,Letter to the Editor/Opinion,,,,Yes
185,"F Zheng, C Liao, QH Fan, HB Chen, XG Zhao, ZG Xie, XL Li, CX Chen, XX Lu, ZS Liu, W Lu, CB Chen, R Jiao, AM Zhang, JT Wang, XW Ding, YG Zeng, LP Cheng, QF Huang, J Wu, XC Luo, ZJ Wang, YY Zhong, Y Bai, XY Wu, RM Jin","Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China.",20-Mar,Current medical science,32207032,Meghanglibbery,1,Yes,Cohort Studies,25,N/A - pick if not case report,,,,,,,,,,,,,Peds,,,,,,,,,Natural history studies,,,,,,,,Yes
185,"F Zheng, C Liao, QH Fan, HB Chen, XG Zhao, ZG Xie, XL Li, CX Chen, XX Lu, ZS Liu, W Lu, CB Chen, R Jiao, AM Zhang, JT Wang, XW Ding, YG Zeng, LP Cheng, QF Huang, J Wu, XC Luo, ZJ Wang, YY Zhong, Y Bai, XY Wu, RM Jin","Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China.",20-Mar,Current medical science,32207032,jasper.ho,1,Yes,Case Series/Report,25,Yes,,,,,,,,,,,,,Peds,,,,,,,,,Natural history studies,Case report,,,,,,,Yes
187,"CI Vardavas, K Nikitara",COVID-19 and smoking: A systematic review of the evidence.,2020,Tobacco induced diseases,32206052,Meghanglibbery,1,Yes,Systematic Review,191,N/A - pick if not case report,,,,,,General,,Internal Medicine,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
187,"CI Vardavas, K Nikitara",COVID-19 and smoking: A systematic review of the evidence.,2020,Tobacco induced diseases,32206052,jasper.ho,1,Yes,Systematic Review,,N/A - pick if not case report,,,,Family Medicine,,General,,,,,,,,,Respirology,,,,,,High quality descriptive studies,,,,,,,,,Yes
189,"Y Shi, Y Wang, C Shao, J Huang, J Gan, X Huang, E Bucci, M Piacentini, G Ippolito, G Melino",COVID-19 infection: the perspectives on immune responses.,20-Mar,Cell death and differentiation,32205856,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,Internal Medicine,,,,,,,,,,Other,Immunology,,,Natural history studies,,,,,,,,Yes
189,"Y Shi, Y Wang, C Shao, J Huang, J Gan, X Huang, E Bucci, M Piacentini, G Ippolito, G Melino",COVID-19 infection: the perspectives on immune responses.,20-Mar,Cell death and differentiation,32205856,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,Rheumatology,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
194,"L Chen, J Lou, Y Bai, M Wang",COVID-19 Disease With Positive Fecal and Negative Pharyngeal and Sputum Viral Tests.,20-Mar,The American journal of gastroenterology,32205644,becky.jones,1,Yes,Case Series/Report,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
194,"L Chen, J Lou, Y Bai, M Wang",COVID-19 Disease With Positive Fecal and Negative Pharyngeal and Sputum Viral Tests.,20-Mar,The American journal of gastroenterology,32205644,jasper.ho,1,Yes,Case Series/Report,1,No,,,,,,General,,,,,,,,,,,,,,,,,Case report,,,,,,,Yes
199,"H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu",Updated approaches against SARS-CoV-2.,20-Mar,Antimicrobial agents and chemotherapy,32205349,becky.jones,1,Yes,Systematic Review,,N/A - pick if not case report,,,Emergency Medicine,,,General,,Internal Medicine,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
199,"H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu",Updated approaches against SARS-CoV-2.,20-Mar,Antimicrobial agents and chemotherapy,32205349,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
199,"H Li, Y Zhou, M Zhang, H Wang, Q Zhao, J Liu",Updated approaches against SARS-CoV-2.,20-Mar,Antimicrobial agents and chemotherapy,32205349,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Microbiology,,High quality descriptive studies,,,,,,,,,Yes
201,"G Figueroa-Parra, GM Aguirre-Garcia, CM Gamboa-Alonso, A Camacho-Ortiz, DA Galarza-Delgado",Are my patients with rheumatic diseases at higher risk of COVID-19?,20-Mar,Annals of the rheumatic diseases,32205336,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,,,,,,,,,,,,,,,,,Rheumatology,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
201,"G Figueroa-Parra, GM Aguirre-Garcia, CM Gamboa-Alonso, A Camacho-Ortiz, DA Galarza-Delgado",Are my patients with rheumatic diseases at higher risk of COVID-19?,20-Mar,Annals of the rheumatic diseases,32205336,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,Family Medicine,,,,Internal Medicine,,,,,,,,Rheumatology,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
207,"X Zhang, H Cai, J Hu, J Lian, J Gu, S Zhang, C Ye, Y Lu, C Jin, G Yu, H Jia, Y Zhang, J Sheng, L Li, Y Yang","Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings.",20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32205284,becky.jones,1,Yes,Case Series/Report,573,Yes,,,Emergency Medicine,,,,,Internal Medicine,ICU,,,,,,,,Radiology,,,,,Natural history studies,Case report,,,,,,,Yes
207,"X Zhang, H Cai, J Hu, J Lian, J Gu, S Zhang, C Ye, Y Lu, C Jin, G Yu, H Jia, Y Zhang, J Sheng, L Li, Y Yang","Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings.",20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32205284,Meghanglibbery,1,Yes,Cohort Studies,573,N/A - pick if not case report,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
207,"X Zhang, H Cai, J Hu, J Lian, J Gu, S Zhang, C Ye, Y Lu, C Jin, G Yu, H Jia, Y Zhang, J Sheng, L Li, Y Yang","Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings.",20-Mar,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,32205284,jasper.ho,1,Yes,Case Series/Report,573,Yes,,,,,,,,,,,,,,,,,Radiology,,,,,Natural history studies,Case report,,,,,,,Yes
215,"S Luo, X Zhang, H Xu",Don't overlook digestive symptoms in patients with 2019 novel coronavirus disease (COVID-19).,20-Mar,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,32205220,becky.jones,1,Yes,Cohort Studies,1141,,,,Emergency Medicine,,Gastroenterology,,,,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
215,"S Luo, X Zhang, H Xu",Don't overlook digestive symptoms in patients with 2019 novel coronavirus disease (COVID-19).,20-Mar,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,32205220,Meghanglibbery,1,Yes,Case Series/Report,1141,Yes,,,,,Gastroenterology,General,,,,,,,,,,,,,,,,Natural history studies,,,,,,,,Yes
216,"P Gautret, JC Lagier, P Parola, VT Hoang, L Meddeb, M Mailhe, B Doudier, J Courjon, V Giordanengo, VE Vieira, HT Dupont, S Honoré, P Colson, E Chabrière, B La Scola, JM Rolain, P Brouqui, D Raoult",Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial.,20-Mar,International journal of antimicrobial agents,32205204,becky.jones,1,Yes,Case Series/Report,20,Yes,,,Emergency Medicine,,,General,,Internal Medicine,ICU,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
216,"P Gautret, JC Lagier, P Parola, VT Hoang, L Meddeb, M Mailhe, B Doudier, J Courjon, V Giordanengo, VE Vieira, HT Dupont, S Honoré, P Colson, E Chabrière, B La Scola, JM Rolain, P Brouqui, D Raoult",Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial.,20-Mar,International journal of antimicrobial agents,32205204,Meghanglibbery,1,Yes,Cohort Studies,36,N/A - pick if not case report,,,,,,General,,Internal Medicine,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
217,"EG Favalli, F Ingegnoli, O De Lucia, G Cincinelli, R Cimaz, R Caporali","COVID-19 infection and rheumatoid arthritis: Faraway, so close!",20-Mar,Autoimmunity reviews,32205186,becky.jones,1,Yes,Systematic Review,,N/A - pick if not case report,,,Emergency Medicine,,,,,Internal Medicine,ICU,,,,,,,Rheumatology,,,,Evidence-based guidance documents and guidelines,,,,Reports of interventions/treatments,,,,,,Yes
217,"EG Favalli, F Ingegnoli, O De Lucia, G Cincinelli, R Cimaz, R Caporali","COVID-19 infection and rheumatoid arthritis: Faraway, so close!",20-Mar,Autoimmunity reviews,32205186,Meghanglibbery,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,Rheumatology,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
219,DP Lei,The Progression of Computed Tomographic (CT) Images in Patients with Coronavirus Disease (COVID-19) Pneumonia: The CT progression of COVID-19 pneumonia.,20-Mar,The Journal of infection,32205140,becky.jones,1,Yes,Case Series/Report,49,Yes,,,,,,,,,,,,,,,,,Radiology,,,,,,Case report,,,,,,,Yes
219,DP Lei,The Progression of Computed Tomographic (CT) Images in Patients with Coronavirus Disease (COVID-19) Pneumonia: The CT progression of COVID-19 pneumonia.,20-Mar,The Journal of infection,32205140,Meghanglibbery,1,Yes,Case Series/Report,49,N/A - pick if not case report,,,,,,General,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
227,"CS Guan, ZB Lv, S Yan, YN Du, H Chen, LG Wei, RM Xie, BD Chen",Imaging Features of Coronavirus disease 2019 (COVID-19): Evaluation on Thin-Section CT.,20-Mar,Academic radiology,32204990,becky.jones,1,Yes,Case Series/Report,53,Yes,,,,,,,,,,,,,,,,,Radiology,,,,,,Case report,,,,,,,Yes
227,"CS Guan, ZB Lv, S Yan, YN Du, H Chen, LG Wei, RM Xie, BD Chen",Imaging Features of Coronavirus disease 2019 (COVID-19): Evaluation on Thin-Section CT.,20-Mar,Academic radiology,32204990,Meghanglibbery,1,Yes,Case Series/Report,53,N/A - pick if not case report,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
228,"M Li, P Lei, B Zeng, Z Li, P Yu, B Fan, C Wang, Z Li, J Zhou, S Hu, H Liu",Coronavirus Disease (COVID-19): Spectrum of CT Findings and Temporal Progression of the Disease.,20-Mar,Academic radiology,32204987,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,Radiology,,,,,Natural history studies,,,,,,,,Yes
228,"M Li, P Lei, B Zeng, Z Li, P Yu, B Fan, C Wang, Z Li, J Zhou, S Hu, H Liu",Coronavirus Disease (COVID-19): Spectrum of CT Findings and Temporal Progression of the Disease.,20-Mar,Academic radiology,32204987,jasper.ho,1,Yes,Case Series/Report,,No,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
229,"KK Sahu, A Lal, AK Mishra",An update on CT chest findings in coronavirus disease-19 (COVID-19).,20-Mar,Heart & lung : the journal of critical care,32204949,becky.jones,1,Yes,Systematic Review,,N/A - pick if not case report,,,,,,,,,,,,,,,,,Radiology,,,,,,,,,,,,,Yes
229,"KK Sahu, A Lal, AK Mishra",An update on CT chest findings in coronavirus disease-19 (COVID-19).,20-Mar,Heart & lung : the journal of critical care,32204949,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,,,,,Radiology,,,,,,,,Imaging studies,,,,,Yes
238,"GA Marraro, C Spada",Consideration of the respiratory support strategy of severe acute respiratory failure caused by SARS-CoV-2 infection in children.,20-Mar,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,32204751,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,,,,,Peds,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
238,"GA Marraro, C Spada",Consideration of the respiratory support strategy of severe acute respiratory failure caused by SARS-CoV-2 infection in children.,20-Mar,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,32204751,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,ICU,,,,Peds,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
242,"L Perico, A Benigni, G Remuzzi",Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade.,20-Mar,Nephron,32203970,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,,,Other,Nephrology,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
242,"L Perico, A Benigni, G Remuzzi",Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade.,20-Mar,Nephron,32203970,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,,,Other,Nephrology,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
243,"AA Chughtai, H Seale, MS Islam, M Owais, CR Macintyre",Policies on the use of respiratory protection for hospital health workers to protect from coronavirus disease (COVID-19).,20-Mar,International journal of nursing studies,32203757,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,Emergency Medicine,,,General,,Internal Medicine,ICU,,,,,,Respirology,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
243,"AA Chughtai, H Seale, MS Islam, M Owais, CR Macintyre",Policies on the use of respiratory protection for hospital health workers to protect from coronavirus disease (COVID-19).,20-Mar,International journal of nursing studies,32203757,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,Anesthesia,,Emergency Medicine,,,General,,Internal Medicine,ICU,,,,,,Respirology,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
244,"K Ramanathan, D Antognini, A Combes, M Paden, B Zakhary, M Ogino, G MacLaren, D Brodie, K Shekar",Planning and provision of ECMO services for severe ARDS during the COVID-19 pandemic and other outbreaks of emerging infectious diseases.,20-Mar,The Lancet. Respiratory medicine,32203711,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
244,"K Ramanathan, D Antognini, A Combes, M Paden, B Zakhary, M Ogino, G MacLaren, D Brodie, K Shekar",Planning and provision of ECMO services for severe ARDS during the COVID-19 pandemic and other outbreaks of emerging infectious diseases.,20-Mar,The Lancet. Respiratory medicine,32203711,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
246,"MA Matthay, JM Aldrich, JE Gotts",Treatment for severe acute respiratory distress syndrome from COVID-19.,20-Mar,The Lancet. Respiratory medicine,32203709,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,Anesthesia,,,,,,,Internal Medicine,ICU,,,,,,Respirology,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
246,"MA Matthay, JM Aldrich, JE Gotts",Treatment for severe acute respiratory distress syndrome from COVID-19.,20-Mar,The Lancet. Respiratory medicine,32203709,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,,ICU,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
247,"D Buonsenso, D Pata, A Chiaretti","COVID-19 outbreak: less stethoscope, more ultrasound.",20-Mar,The Lancet. Respiratory medicine,32203708,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,ICU,,,,Peds,,Respirology,,Radiology,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
247,"D Buonsenso, D Pata, A Chiaretti","COVID-19 outbreak: less stethoscope, more ultrasound.",20-Mar,The Lancet. Respiratory medicine,32203708,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,,,,,,Letter to the Editor/Opinion,,,,Yes
249,"MN Bangash, J Patel, D Parekh",COVID-19 and the liver: little cause for concern.,20-Mar,The lancet. Gastroenterology & hepatology,32203680,becky.jones,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,Gastroenterology,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
249,"MN Bangash, J Patel, D Parekh",COVID-19 and the liver: little cause for concern.,20-Mar,The lancet. Gastroenterology & hepatology,32203680,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,Gastroenterology,,,Internal Medicine,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
250,"X Liu, X Liu, Y Xu, Z Xu, Y Huang, S Chen, S Li, D Liu, Z Lin, Y Li",Ventilatory Ratio in Hypercapnic Mechanically Ventilated Patients with COVID-19 Associated ARDS.,20-Mar,American journal of respiratory and critical care medicine,32203672,becky.jones,1,Yes,Case Series/Report,8,Yes,,,,,,,,Internal Medicine,ICU,,,,,,Respirology,,,,,,,,Case report,,,,,,,Yes
250,"X Liu, X Liu, Y Xu, Z Xu, Y Huang, S Chen, S Li, D Liu, Z Lin, Y Li",Ventilatory Ratio in Hypercapnic Mechanically Ventilated Patients with COVID-19 Associated ARDS.,20-Mar,American journal of respiratory and critical care medicine,32203672,jasper.ho,1,Yes,Case Series/Report,8,Yes,,,,,,,,,ICU,,,,,,,,,,,,,,Case report,,,,,,,Yes
252,"TY Hu, M Frieman, J Wolfram",Insights from nanomedicine into chloroquine efficacy against COVID-19.,20-Mar,Nature nanotechnology,32203437,becky.jones,1,Yes,Other,,N/A - pick if not case report,,,,,,General,,,,,,,,,,,,,,,,,,Reports of interventions/treatments,,,,,,Yes
252,"TY Hu, M Frieman, J Wolfram",Insights from nanomedicine into chloroquine efficacy against COVID-19.,20-Mar,Nature nanotechnology,32203437,jasper.ho,1,Yes,Narrative Review/Expert Opinion,,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,,,,,,,,,,,,,Other,Virology,Yes
257,"M Zheng, Y Gao, G Wang, G Song, S Liu, D Sun, Y Xu, Z Tian",Functional exhaustion of antiviral lymphocytes in COVID-19 patients.,20-Mar,Cellular & molecular immunology,32203188,becky.jones,1,Yes,Case Series/Report,68,Yes,,,,,,,,,,,,,,,,,,Other,Immunology,,,,Case report,Reports of interventions/treatments,,,,,,Yes
257,"M Zheng, Y Gao, G Wang, G Song, S Liu, D Sun, Y Xu, Z Tian",Functional exhaustion of antiviral lymphocytes in COVID-19 patients.,20-Mar,Cellular & molecular immunology,32203188,jasper.ho,1,Yes,Case Series/Report,68,Yes,,,,,,,,Internal Medicine,,,,,,,,,,Other,Immunology,,High quality descriptive studies,Natural history studies,Case report,,,,,,,Yes
258,"HY Zheng, M Zhang, CX Yang, N Zhang, XC Wang, XP Yang, XQ Dong, YT Zheng",Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.,20-Mar,Cellular & molecular immunology,32203186,becky.jones,1,Yes,Other,,N/A - pick if not case report,,,,,,,Immunology,,,,,,,,,,,,,,,Natural history studies,Case report,,,,,,,Yes
258,"HY Zheng, M Zhang, CX Yang, N Zhang, XC Wang, XP Yang, XQ Dong, YT Zheng",Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.,20-Mar,Cellular & molecular immunology,32203186,jasper.ho,1,Yes,Case Series/Report,16,Yes,,,,,,,,Internal Medicine,,,,,,,,,,Other,Immunology,,,,Case report,,,,,,,Yes
