"Refid","Author","Title","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Peds","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Incorrect Coronavirus","Type Bucket -> Not in English","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"238","GA Marraro, C Spada","Consideration of the respiratory support strategy of severe acute respiratory failure caused by SARS-CoV-2 infection in children.","Mar 2020","Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics","32204751","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,,,"Peds",,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"242","L Perico, A Benigni, G Remuzzi","Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade.","Mar 2020","Nephron","32203970","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Other","Nephrology","Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"242","L Perico, A Benigni, G Remuzzi","Should COVID-19 Concern Nephrologists? Why and to What Extent? The Emerging Impasse of Angiotensin Blockade.","Mar 2020","Nephron","32203970","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Other","Nephrology","Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"243","AA Chughtai, H Seale, MS Islam, M Owais, CR Macintyre","Policies on the use of respiratory protection for hospital health workers to protect from coronavirus disease (COVID-19).","Mar 2020","International journal of nursing studies","32203757","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,"Emergency Medicine",,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,"Respirology",,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"243","AA Chughtai, H Seale, MS Islam, M Owais, CR Macintyre","Policies on the use of respiratory protection for hospital health workers to protect from coronavirus disease (COVID-19).","Mar 2020","International journal of nursing studies","32203757","jasper.ho","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,"Emergency Medicine",,,,"General",,,"Internal Medicine","ICU",,,,,,,,,,,"Respirology",,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"244","K Ramanathan, D Antognini, A Combes, M Paden, B Zakhary, M Ogino, G MacLaren, D Brodie, K Shekar","Planning and provision of ECMO services for severe ARDS during the COVID-19 pandemic and other outbreaks of emerging infectious diseases.","Mar 2020","The Lancet. Respiratory medicine","32203711","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"244","K Ramanathan, D Antognini, A Combes, M Paden, B Zakhary, M Ogino, G MacLaren, D Brodie, K Shekar","Planning and provision of ECMO services for severe ARDS during the COVID-19 pandemic and other outbreaks of emerging infectious diseases.","Mar 2020","The Lancet. Respiratory medicine","32203711","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"246","MA Matthay, JM Aldrich, JE Gotts","Treatment for severe acute respiratory distress syndrome from COVID-19.","Mar 2020","The Lancet. Respiratory medicine","32203709","becky.jones","1","Yes","Narrative Review/Expert Opinion","Anesthesia",,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,"Respirology",,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"246","MA Matthay, JM Aldrich, JE Gotts","Treatment for severe acute respiratory distress syndrome from COVID-19.","Mar 2020","The Lancet. Respiratory medicine","32203709","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"247","D Buonsenso, D Pata, A Chiaretti","COVID-19 outbreak: less stethoscope, more ultrasound.","Mar 2020","The Lancet. Respiratory medicine","32203708","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine","ICU",,,,,,,,"Peds",,,"Respirology",,"Radiology",,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"247","D Buonsenso, D Pata, A Chiaretti","COVID-19 outbreak: less stethoscope, more ultrasound.","Mar 2020","The Lancet. Respiratory medicine","32203708","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"249","MN Bangash, J Patel, D Parekh","COVID-19 and the liver: little cause for concern.","Mar 2020","The lancet. Gastroenterology & hepatology","32203680","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"249","MN Bangash, J Patel, D Parekh","COVID-19 and the liver: little cause for concern.","Mar 2020","The lancet. Gastroenterology & hepatology","32203680","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"250","X Liu, X Liu, Y Xu, Z Xu, Y Huang, S Chen, S Li, D Liu, Z Lin, Y Li","Ventilatory Ratio in Hypercapnic Mechanically Ventilated Patients with COVID-19 Associated ARDS.","Mar 2020","American journal of respiratory and critical care medicine","32203672","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,"Respirology",,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"250","X Liu, X Liu, Y Xu, Z Xu, Y Huang, S Chen, S Li, D Liu, Z Lin, Y Li","Ventilatory Ratio in Hypercapnic Mechanically Ventilated Patients with COVID-19 Associated ARDS.","Mar 2020","American journal of respiratory and critical care medicine","32203672","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"252","TY Hu, M Frieman, J Wolfram","Insights from nanomedicine into chloroquine efficacy against COVID-19.","Mar 2020","Nature nanotechnology","32203437","becky.jones","1","Yes","Can't tell",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"252","TY Hu, M Frieman, J Wolfram","Insights from nanomedicine into chloroquine efficacy against COVID-19.","Mar 2020","Nature nanotechnology","32203437","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Virology",,"Yes",
"256","W Tai, L He, X Zhang, J Pu, D Voronin, S Jiang, Y Zhou, L Du","Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine.","Mar 2020","Cellular & molecular immunology","32203189","becky.jones","1","Yes","Animal or Laboratory Study",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"256","W Tai, L He, X Zhang, J Pu, D Voronin, S Jiang, Y Zhou, L Du","Characterization of the receptor-binding domain (RBD) of 2019 novel coronavirus: implication for development of RBD protein as a viral attachment inhibitor and vaccine.","Mar 2020","Cellular & molecular immunology","32203189","jasper.ho","1","Yes","Animal or Laboratory Study",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Virology",,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"257","M Zheng, Y Gao, G Wang, G Song, S Liu, D Sun, Y Xu, Z Tian","Functional exhaustion of antiviral lymphocytes in COVID-19 patients.","Mar 2020","Cellular & molecular immunology","32203188","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Immunology",,,,,"Case report",,"Reports of interventions/treatments",,,,,,,,"Yes",
"257","M Zheng, Y Gao, G Wang, G Song, S Liu, D Sun, Y Xu, Z Tian","Functional exhaustion of antiviral lymphocytes in COVID-19 patients.","Mar 2020","Cellular & molecular immunology","32203188","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Other","Immunology",,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies","Case report",,,,,,,,,,"Yes",
"258","HY Zheng, M Zhang, CX Yang, N Zhang, XC Wang, XP Yang, XQ Dong, YT Zheng","Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.","Mar 2020","Cellular & molecular immunology","32203186","becky.jones","1","Yes","Can't tell",,,,,,,,,,"Immunology",,,,,,,,,,,,,,,,,,,,,,"Natural history studies","Case report",,,,,,,,,,"Yes",
"258","HY Zheng, M Zhang, CX Yang, N Zhang, XC Wang, XP Yang, XQ Dong, YT Zheng","Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.","Mar 2020","Cellular & molecular immunology","32203186","jasper.ho","1","Yes","Case Series/Report",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,"Other","Immunology",,,,,"Case report",,,,,,,,,,"Yes",
"260","X Zhou, CL Snoswell, LE Harding, M Bambling, S Edirippulige, X Bai, AC Smith","The Role of Telehealth in Reducing the Mental Health Burden from COVID-19.","Mar 2020","Telemedicine journal and e-health : the official journal of the American Telemedicine Association","32202977","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,"Family Medicine",,,,,,,,,,,,,,,,,"Psych",,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"260","X Zhou, CL Snoswell, LE Harding, M Bambling, S Edirippulige, X Bai, AC Smith","The Role of Telehealth in Reducing the Mental Health Burden from COVID-19.","Mar 2020","Telemedicine journal and e-health : the official journal of the American Telemedicine Association","32202977","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,"Psych",,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"261",",  ","Recommendations by the SEPD and AEG, both in general and on the operation of gastrointestinal endoscopy and gastroenterology units, concerning the current SARS-CoV-2 pandemic (March, 18).","03 2020","Revista espanola de enfermedades digestivas : organo oficial de la Sociedad Espanola de Patologia Digestiva","32202911","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"261",",  ","Recommendations by the SEPD and AEG, both in general and on the operation of gastrointestinal endoscopy and gastroenterology units, concerning the current SARS-CoV-2 pandemic (March, 18).","03 2020","Revista espanola de enfermedades digestivas : organo oficial de la Sociedad Espanola de Patologia Digestiva","32202911","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"262","EJ Emanuel, G Persad, R Upshur, B Thome, M Parker, A Glickman, C Zhang, C Boyle, M Smith, JP Phillips","Fair Allocation of Scarce Medical Resources in the Time of Covid-19.","Mar 2020","The New England journal of medicine","32202722","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"262","EJ Emanuel, G Persad, R Upshur, B Thome, M Parker, A Glickman, C Zhang, C Boyle, M Smith, JP Phillips","Fair Allocation of Scarce Medical Resources in the Time of Covid-19.","Mar 2020","The New England journal of medicine","32202722","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,"Other","Medical ethics",,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"265","J Lai, S Ma, Y Wang, Z Cai, J Hu, N Wei, J Wu, H Du, T Chen, R Li, H Tan, L Kang, L Yao, M Huang, H Wang, G Wang, Z Liu, S Hu","Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019.","03 2020","JAMA network open","32202646","Daniellevin","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,"Psych",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"265","J Lai, S Ma, Y Wang, Z Cai, J Hu, N Wei, J Wu, H Du, T Chen, R Li, H Tan, L Kang, L Yao, M Huang, H Wang, G Wang, Z Liu, S Hu","Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019.","03 2020","JAMA network open","32202646","jasper.ho","1","Yes","Survey",,,,,,,,,,,,,,,,,,,,,,"Psych",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"273","V Ficarra, G Novara, A Abrate, R Bartoletti, A Crestani, C De Nunzio, G Giannarini, A Gregori, G Liguori, V Mirone, N Pavan, RM Scarpa, A Simonato, C Trombetta, A Tubaro, F Porpiglia,  ","Urology practice during COVID-19 pandemic.","Mar 2020","Minerva urologica e nefrologica = The Italian journal of urology and nephrology","32202401","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Urology",,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"273","V Ficarra, G Novara, A Abrate, R Bartoletti, A Crestani, C De Nunzio, G Giannarini, A Gregori, G Liguori, V Mirone, N Pavan, RM Scarpa, A Simonato, C Trombetta, A Tubaro, F Porpiglia,  ","Urology practice during COVID-19 pandemic.","Mar 2020","Minerva urologica e nefrologica = The Italian journal of urology and nephrology","32202401","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Urology","Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"274","JF Ludvigsson","Systematic review of COVID-19 in children shows milder cases and a better prognosis than adults.","Mar 2020","Acta paediatrica (Oslo, Norway : 1992)","32202343","Daniellevin","1","Yes","Systematic Review",,,,,"Family Medicine",,,,,,,,,,,,,,,"Peds",,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"274","JF Ludvigsson","Systematic review of COVID-19 in children shows milder cases and a better prognosis than adults.","Mar 2020","Acta paediatrica (Oslo, Norway : 1992)","32202343","jasper.ho","1","Yes","Systematic Review",,,,,,,,,,,,,,,,,,,,"Peds",,,,,,,,,"Evidence-based guidance documents and guidelines","High quality observational  studies (cohort, case-control studies, etc.)",,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"281","P Sarzi-Puttini, V Giorgi, S Sirotti, D Marotto, S Ardizzone, G Rizzardini, S Antinori, M Galli","COVID-19, cytokines and immunosuppression: what can we learn from severe acute respiratory syndrome?",,"Clinical and experimental rheumatology","32202240","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,"Immunology",,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"281","P Sarzi-Puttini, V Giorgi, S Sirotti, D Marotto, S Ardizzone, G Rizzardini, S Antinori, M Galli","COVID-19, cytokines and immunosuppression: what can we learn from severe acute respiratory syndrome?",,"Clinical and experimental rheumatology","32202240","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,"Immunology","Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"282","D Kumar, O Manuel, Y Natori, H Egawa, P Grossi, SH Han, M Fernandez-Ruiz, A Humar","COVID-19: A Global Transplant Perspective on Successfully Navigating a Pandemic.","Mar 2020","American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons","32202064","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Transplant",,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"282","D Kumar, O Manuel, Y Natori, H Egawa, P Grossi, SH Han, M Fernandez-Ruiz, A Humar","COVID-19: A Global Transplant Perspective on Successfully Navigating a Pandemic.","Mar 2020","American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons","32202064","jasper.ho","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Transplant medicine",,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"289","M Prajapat, P Sarma, N Shekhar, P Avti, S Sinha, H Kaur, S Kumar, A Bhattacharyya, H Kumar, S Bansal, B Medhi","Drug targets for corona virus: A systematic review.",,"Indian journal of pharmacology","32201449","Daniellevin","1","Yes","Systematic Review",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"289","M Prajapat, P Sarma, N Shekhar, P Avti, S Sinha, H Kaur, S Kumar, A Bhattacharyya, H Kumar, S Bansal, B Medhi","Drug targets for corona virus: A systematic review.",,"Indian journal of pharmacology","32201449","jasper.ho","1","Yes","Systematic Review",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Virology",,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"294","M Colaneri, E Seminari, A Piralla, V Zuccaro, AD Filippo, F Baldanti, R Bruno, MU Mondelli,  ","Lack of SARS-CoV-2 RNA environmental contamination in a tertiary referral hospital for infectious diseases in Northern Italy.","Mar 2020","The Journal of hospital infection","32201338","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"294","M Colaneri, E Seminari, A Piralla, V Zuccaro, AD Filippo, F Baldanti, R Bruno, MU Mondelli,  ","Lack of SARS-CoV-2 RNA environmental contamination in a tertiary referral hospital for infectious diseases in Northern Italy.","Mar 2020","The Journal of hospital infection","32201338","Daniellevin","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"295","E Driggin, MV Madhavan, B Bikdeli, T Chuich, J Laracy, G Bondi-Zoccai, TS Brown, C Nigoghossian, DA Zidar, J Haythe, D Brodie, JA Beckman, AJ Kirtane, GW Stone, HM Krumholz, SA Parikh","Cardiovascular Considerations for Patients, Health Care Workers, and Health Systems During the Coronavirus Disease 2019 (COVID-19) Pandemic.","Mar 2020","Journal of the American College of Cardiology","32201335","kearneh","1","Yes","Systematic Review",,"Cardiology",,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"295","E Driggin, MV Madhavan, B Bikdeli, T Chuich, J Laracy, G Bondi-Zoccai, TS Brown, C Nigoghossian, DA Zidar, J Haythe, D Brodie, JA Beckman, AJ Kirtane, GW Stone, HM Krumholz, SA Parikh","Cardiovascular Considerations for Patients, Health Care Workers, and Health Systems During the Coronavirus Disease 2019 (COVID-19) Pandemic.","Mar 2020","Journal of the American College of Cardiology","32201335","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"297","P Lei, B Fan, J Mao, P Wang","Comprehensive analysis for diagnosis of novel coronavirus disease (COVID-19) infection.","Mar 2020","The Journal of infection","32201156","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"297","P Lei, B Fan, J Mao, P Wang","Comprehensive analysis for diagnosis of novel coronavirus disease (COVID-19) infection.","Mar 2020","The Journal of infection","32201156","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"300","F Zeri, SA Naroo","Contact lens practice in the time of COVID-19.","Mar 2020","Contact lens & anterior eye : the journal of the British Contact Lens Association","32201054","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Optho","Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"300","F Zeri, SA Naroo","Contact lens practice in the time of COVID-19.","Mar 2020","Contact lens & anterior eye : the journal of the British Contact Lens Association","32201054","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,,,,,,"Other","Opthmomalogy",,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"301","CN Wu, LZ Xia, KH Li, WH Ma, DN Yu, B Qu, BX Li, Y Cao","High-flow nasal-oxygenation-assisted fibreoptic tracheal intubation in critically ill patients with COVID-19 pneumonia: a prospective randomised controlled trial.","Mar 2020","British journal of anaesthesia","32200994","kearneh","1","Yes","Randomized Control Trial",,,,,,,,,,,,"ICU",,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"301","CN Wu, LZ Xia, KH Li, WH Ma, DN Yu, B Qu, BX Li, Y Cao","High-flow nasal-oxygenation-assisted fibreoptic tracheal intubation in critically ill patients with COVID-19 pneumonia: a prospective randomised controlled trial.","Mar 2020","British journal of anaesthesia","32200994","Daniellevin","1","Yes","Can't tell",,,,,,,,"General",,,,"ICU",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"303","Chang, G Mo, X Yuan, Y Tao, X Peng, F Wang, L Xie, L Sharma, CS Dela Cruz, E Qin","Time Kinetics of Viral Clearance and Resolution of Symptoms in Novel Coronavirus Infection.","Mar 2020","American journal of respiratory and critical care medicine","32200654","kearneh","1","Yes","Case Series/Report",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"303","Chang, G Mo, X Yuan, Y Tao, X Peng, F Wang, L Xie, L Sharma, CS Dela Cruz, E Qin","Time Kinetics of Viral Clearance and Resolution of Symptoms in Novel Coronavirus Infection.","Mar 2020","American journal of respiratory and critical care medicine","32200654","Daniellevin","1","Yes","Case Series/Report",,,,,,,,"General",,"Immunology",,,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"304","C Pan, L Chen, C Lu, W Zhang, JA Xia, MC Sklar, B Du, L Brochard, H Qiu","Lung Recruitability in SARS-CoV-2 Associated Acute Respiratory Distress Syndrome: A Single-center, Observational Study.","Mar 2020","American journal of respiratory and critical care medicine","32200645","kearneh","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,,,,,,,"Respirology",,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"304","C Pan, L Chen, C Lu, W Zhang, JA Xia, MC Sklar, B Du, L Brochard, H Qiu","Lung Recruitability in SARS-CoV-2 Associated Acute Respiratory Distress Syndrome: A Single-center, Observational Study.","Mar 2020","American journal of respiratory and critical care medicine","32200645","Daniellevin","1","Yes","Case Series/Report",,,,,,,,"General",,,,"ICU",,,,,,,,,,,"Respirology",,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"306","K Kotfis, K Skonieczna-Żydecka","COVID-19: gastrointestinal symptoms and potential sources of 2019-nCoV transmission.","Mar 2020","Anaesthesiology intensive therapy","32200613","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"306","K Kotfis, K Skonieczna-Żydecka","COVID-19: gastrointestinal symptoms and potential sources of 2019-nCoV transmission.","Mar 2020","Anaesthesiology intensive therapy","32200613","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"308","KJ Goh, MC Choong, EH Cheong, S Kalimuddin, S Duu Wen, GC Phua, KS Chan, S Haja Mohideen","Rapid Progression to Acute Respiratory Distress Syndrome: Review of Current Understanding of Critical Illness from COVID-19 Infection.","Jan 2020","Annals of the Academy of Medicine, Singapore","32200400","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes",
"308","KJ Goh, MC Choong, EH Cheong, S Kalimuddin, S Duu Wen, GC Phua, KS Chan, S Haja Mohideen","Rapid Progression to Acute Respiratory Distress Syndrome: Review of Current Understanding of Critical Illness from COVID-19 Infection.","Jan 2020","Annals of the Academy of Medicine, Singapore","32200400","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,"Internal Medicine","ICU",,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"309","CS Ho, CY Chee, RC Ho","Mental Health Strategies to Combat the Psychological Impact of COVID-19 Beyond Paranoia and Panic.","Jan 2020","Annals of the Academy of Medicine, Singapore","32200399","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,"Psych",,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"309","CS Ho, CY Chee, RC Ho","Mental Health Strategies to Combat the Psychological Impact of COVID-19 Beyond Paranoia and Panic.","Jan 2020","Annals of the Academy of Medicine, Singapore","32200399","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,,"Psych",,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"312","V Peyronnet, J Sibiude, P Deruelle, C Huissoud, X Lescure, JC Lucet, L Mandelbrot, I Nisand, C Vayssière, Y Yazpandanah, D Luton, O Picone","[Infection with SARS-CoV-2 in pregnancy. Information and proposed care. CNGOF.]","Mar 2020","Gynecologie, obstetrique, fertilite & senologie","32199996","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,"OBGYN",,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
